번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),판매점영업면적,,
14850,안전상비의약품 판매업소,01_01_05_P,4920000,PHMH320154920011087500003,20150410,,1,영업/정상,13,영업중,,,,,,,,,전라남도 강진군 강진읍 영랑로4길 4,59233,미니스톱 강진터미널점,2.01504E+13,I,2018/08/31 23:59,,178708.7115,126721.2434,66,,
14851,안전상비의약품 판매업소,01_01_05_P,4920000,PHMH320154920011087500004,20150501,,1,영업/정상,13,영업중,,,,,061-4340-0203,,,,전라남도 강진군 강진읍 중앙로 92,59234,씨유강진터미널점,2.01505E+13,I,2018/08/31 23:59,,178612.2105,126684.0482,193,,
14852,안전상비의약품 판매업소,01_01_05_P,4920000,PHMH320164920011087500001,20160610,,1,영업/정상,13,영업중,,,,,,,,,전라남도 강진군 강진읍 보은로2길 23,59233,세븐일레븐 강진청자점,2.02206E+13,U,2022/06/18 2:40,,178879.2711,126738.0656,24,,
14853,안전상비의약품 판매업소,01_01_05_P,4920000,PHMH320164920011087500002,20160704,,1,영업/정상,13,영업중,,,,,,,,,전라남도 강진군 강진읍 동성로 6-1,59225,씨유강진우량점,2.01812E+13,U,2018/12/19 2:40,,179324.6133,126829.7059,,,
14854,안전상비의약품 판매업소,01_01_05_P,4920000,PHMH320174920011087500001,20170329,,1,영업/정상,13,영업중,,,,,061-433-5433,,,,전라남도 강진군 군동면 진흥로 13,59223,이마트24 강진군동점,2.02205E+13,U,2022/05/22 2:40,,180011.3499,127176.9597,82.5,,
14855,안전상비의약품 판매업소,01_01_05_P,4920000,PHMH320174920011087500003,20171121,,1,영업/정상,13,영업중,,,,,,,,전라남도 강진군 강진읍 평동리 177번지 11호,"전라남도 강진군 강진읍 보은로 99, 111/113호",59234,GS25강진보은점,2.01711E+13,I,2018/08/31 23:59,,178810.3059,126450.9587,99,,
14856,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320134840022087500003,20130711,,1,영업/정상,13,영업중,,,,,792-7086,,545872,전라남도 광양시 광영동 763번지 2호,전라남도 광양시 광영로 119 (광영동),57720,알리바이 광영터미널,2.01401E+13,I,2018/08/31 23:59,,265349.0402,163002.8,45,,
14857,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320134840022087500007,20130104,,1,영업/정상,13,영업중,,,,,,,545801,전라남도 광양시 광양읍 구산리 769번지 7호,전라남도 광양시 광양읍 서평로 93,57736,(주)코리아세븐 광양매화점,2.01308E+13,I,2018/08/31 23:59,,252951.8748,164899.2465,49.5,,
14858,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320134840022087500009,20130111,,1,영업/정상,13,영업중,,,,,,,545879,전라남도 광양시 중동 1255번지,전라남도 광양시 중마로 35 (중동),57793,GS25 광양항만점,2.01709E+13,I,2018/08/31 23:59,,262784.7113,159014.8284,66,,
14859,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320134840022087500010,20130114,,1,영업/정상,13,영업중,,,,,,,545872,전라남도 광양시 광영동 767번지 10호,전라남도 광양시 금영로 169 (광영동),57717,GS25광양마루점,2.01308E+13,I,2018/08/31 23:59,,265594.6769,163195.0502,120,,
14860,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320134840022087500019,20131202,,1,영업/정상,13,영업중,,,,,061-795-1634,,545883,전라남도 광양시 태인동 125번지 33호,전라남도 광양시 백운1로 159 (태인동),57814,CU광양태인점,2.01312E+13,I,2018/08/31 23:59,,269183.5727,160748.1727,118.8,,
14861,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320134840022087500020,20131202,,1,영업/정상,13,영업중,,,,,061-795-7717,,545879,전라남도 광양시 중동 1252번지,전라남도 광양시 중마로 39 (중동),57793,CU광양항로드점,2.01312E+13,I,2018/08/31 23:59,,262796.8514,159050.1033,99,,
14862,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320134840022087500021,20131205,,1,영업/정상,13,영업중,,,,,061-795-2171,,545883,전라남도 광양시 태인동 303번지 41호,전라남도 광양시 삼봉산로 13 (태인동),57817,세븐일레븐 광양태인점,2.01312E+13,I,2018/08/31 23:59,,268036.4284,159893.61,99,,
14863,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320184820026087500011,20180430,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 인제동 377번지 1호,전라남도 순천시 장평로 49 (인제동),57959,CU순천아랫장점,2.01804E+13,I,2018/08/31 23:59,,245036.5782,160711.8213,,,
14864,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320184820026087500012,20180430,,1,영업/정상,13,영업중,,,,,061-752-8318,,,전라남도 순천시 주암면 요곡리 186번지 1호,전라남도 순천시 주암면 동주로 2396,57911,미니스톱주암IC점,2.01804E+13,I,2018/08/31 23:59,,224358.7595,173834.7283,,,
14865,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320154800026087500033,20151224,,1,영업/정상,13,영업중,,,,,,,,,"전라남도 목포시 청호로219번길 51, 상가B동 102호 (죽교동, 신안실크밸리7차아파트)",58624,씨유 목포실크밸리점,2.01512E+13,I,2018/08/31 23:59,,141911,145439,3.3,,
14866,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500002,20160119,,1,영업/정상,13,영업중,,,,,281-9917,,,전라남도 목포시 상동,전라남도 목포시 교육로 106-1 (상동),58666,(주)코리아세븐 목포상동아이점,2.01601E+13,I,2018/08/31 23:59,,146676.5967,145444.4216,49.5,,
14867,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500003,20160126,,1,영업/정상,13,영업중,,,,,,,,,"전라남도 목포시 평화로107번길 16-1 (옥암동, 우미오션빌아파트)",58746,GS25우미평화점,2.01601E+13,I,2018/08/31 23:59,,148360.3021,144651.5422,66,,
14868,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500004,20160224,,1,영업/정상,13,영업중,,,,,061-282-9421,,,,전라남도 목포시 옥암로54번길 27 (옥암동),58685,씨유목포제일점,2.01602E+13,I,2018/08/31 23:59,,147893.5811,145379.5956,3.3,,
14869,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500005,20160224,,1,영업/정상,13,영업중,,,,,,,,,전라남도 목포시 당가두로14번길 2 (옥암동),58674,GS25 옥암신도시점,2.01602E+13,I,2018/08/31 23:59,,148460.4417,145608.6874,3.3,,
14870,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500006,20160309,,1,영업/정상,13,영업중,,,,,,,,,전라남도 목포시 영산로 525 (상동),58642,세븐일레븐목포터미널,2.01603E+13,I,2018/08/31 23:59,,146634.3677,146209.3869,3.3,,
14871,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500009,20160323,,1,영업/정상,13,영업중,,,,,,,,,전라남도 목포시 남악1로52번가길 2-13 (옥암동),58676,미니스톱 목포옥암점,2.01603E+13,I,2018/08/31 23:59,,149498.8817,145981.1169,3.3,,
14872,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500010,20160329,,1,영업/정상,13,영업중,,,,,,,,,전라남도 목포시 산정로134번길 42 (산정동),58707,세븐일레븐목포용당이동점,2.01603E+13,I,2018/08/31 23:59,,144739.3521,145033.9292,,,
14873,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500012,20160418,,1,영업/정상,13,영업중,,,,,,,,,전라남도 목포시 옥암로186번길 19 (석현동),58656,미니스톱 신청호점,2.01604E+13,I,2018/08/31 23:59,,147195.629,146450.8567,105,,
14874,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500013,20160519,,1,영업/정상,13,영업중,,,,,282-0300,,,,전라남도 목포시 양을로532번길 14 (상동),58659,CU목포상동점,2.01605E+13,I,2018/08/31 23:59,,147074,145962,3.3,,
14875,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500014,20160519,,1,영업/정상,13,영업중,,,,,,,,,전라남도 목포시 장미로 85 (옥암동),58685,미니스톱옥암중앙점,2.01605E+13,I,2018/08/31 23:59,,147740.1467,145248.7202,3.3,,
14876,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320154800026087500005,20150422,,1,영업/정상,13,영업중,,,,,,,530835,전라남도 목포시 용당동,전라남도 목포시 용당로 133 (용당동),58705,GS25 카페백년로점,2.01504E+13,I,2018/08/31 23:59,,145148.8574,144701.0678,73.39,,
14877,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320154800026087500029,20151201,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 옥암동,전라남도 목포시 옥암로124번길 27 (옥암동),58663,세븐일레븐(옥암 현이점),2.01512E+13,I,2018/08/31 23:59,,147544.4547,145998.0476,126.56,,
14878,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320154800026087500030,20151210,,1,영업/정상,13,영업중,,,,,278-0279,,,전라남도 목포시 용당동,전라남도 목포시 영산로 305-2 (용당동),58651,CU 목포홈플러스점,2.01512E+13,I,2018/08/31 23:59,,145005.2017,145701.284,66,,
14879,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320164810029087500011,20160531,,1,영업/정상,13,영업중,,,,,,,,,전라남도 여수시 허문정1길 59 (문수동),59704,GS25여수 문수점,2.01606E+13,I,2018/08/31 23:59,,263473.6238,139231.9542,85.5,,
14880,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320164810029087500012,20160610,,1,영업/정상,13,영업중,,,,,,,,,전라남도 여수시 신기남3길 19 (신기동),59686,세븐일레븐 여수신기남점,2.01703E+13,I,2018/08/31 23:59,,261309.584,140414.1255,,,
14881,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320164810029087500015,20160706,,1,영업/정상,13,영업중,,,,,664-2278,,59676,,전라남도 여수시 흥국로 48 (학동),59676,세븐일레븐여수흥국점,2.01607E+13,I,2018/08/31 23:59,,261063.3619,140626.7632,112,,
14882,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320164810029087500016,20160725,,1,영업/정상,13,영업중,,,,,,,,,전라남도 여수시 소호1길 40 (소호동),59665,씨유 소호씨스타점,2.01607E+13,I,2018/08/31 23:59,,260171,138957,3.3,,
14883,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320164810029087500017,20160809,,1,영업/정상,13,영업중,,,,,,,,,전라남도 여수시 오림2길 5 (오림동),59716,미니스톱 여수터미널점,2.01608E+13,I,2018/08/31 23:59,,265492.4584,140131.6765,86,,
14884,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320164810029087500024,20160923,,1,영업/정상,13,영업중,,,,,,,,,전라남도 여수시 돌산읍 강남9길 45,59769,GS25 돌산청솔점,2.01609E+13,I,2018/08/31 23:59,,269092,135777,121.95,,
14885,안전상비의약품 판매업소,01_01_05_P,4920000,PHMH320124920011087500008,20121107,,1,영업/정상,13,영업중,,,,,,,,,전라남도 강진군 강진읍 탐진로 66,59235,미니스톱 서성점,2.01612E+13,I,2018/08/31 23:59,,178314.0371,126707.0292,,,
14886,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320184840022087500006,20180706,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 중동 1434번지 중마2주공아파트,"전라남도 광양시 구마9길 11, 상가동 지하상가호 (중동, 중마2주공아파트)",57781,미니스톱중마주공점,2.01807E+13,I,2018/08/31 23:59,,262575.4447,160978.616,116,,
14887,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320184840022087500007,20180711,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 광양읍 덕례리 1784번지 1호,"전라남도 광양시 광양읍 갈티로 27, 1층",57760,미니스톰광양대림점,2.01807E+13,I,2018/08/31 23:59,,251616.8158,163239.2339,119,,
14888,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320144840022087500009,20141023,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 광영동 802번지 4호,전라남도 광양시 광영로 48 (광영동),57715,미니스톱 광영부영점,2.01812E+13,U,2018/12/29 2:40,,266010.9443,162831.3163,66,,
14889,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320144840022087500010,20141121,,1,영업/정상,13,영업중,,,,,,,545804,전라남도 광양시 광양읍 칠성리 555번지 3호,전라남도 광양시 광양읍 신재로 105,57734,씨유광양백운점,2.01411E+13,I,2018/08/31 23:59,,253735.098,164806.7783,69.3,,
14890,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320154840022087500010,20150615,,1,영업/정상,13,영업중,,,,,,,545808,전라남도 광양시 광양읍 칠성리 512번지 9호,전라남도 광양시 광양읍 성북길 2,57755,CU광양칠성점,2.01507E+13,I,2018/08/31 23:59,,253093.8156,163634.294,103,,
14891,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320134800026087500016,20130118,,1,영업/정상,13,영업중,,,,,061-277-0365,,,,전라남도 목포시 동명로 77 (산정동),58732,365할인마트,2.01307E+13,I,2018/08/31 23:59,,144564.225,144170.0474,132,,
14892,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320174800026087500003,20170228,,1,영업/정상,13,영업중,,,,,,,,,"전라남도 목포시 원형서로 46-1, 1층 112호 (상동, 양우비치팰리스 상가)",58748,세븐일레븐 목포비치팰리스점,2.01702E+13,I,2018/08/31 23:59,,147840.5135,144360.1091,3.3,,
14893,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320174800026087500004,20170314,,1,영업/정상,13,영업중,,,,,274-4000,,,,전라남도 목포시 영산로 519 (상동),58642,cu목포터미널점,2.0191E+13,U,2019/10/19 2:40,,146661.1134,146090.9104,3.3,,
14894,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320124950018087500002,20121108,,1,영업/정상,13,영업중,,,,,061-454-7937,,534834,전라남도 무안군 청계면 도림리 480번지 2호,전라남도 무안군 청계면 승달산길 9,58553,미니스톱 목대후문점,2.01311E+13,I,2018/08/31 23:59,,147918.5636,156961.8359,,,
14895,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320124950018087500003,20121108,,1,영업/정상,13,영업중,,,,,061-285-0711,,,,전라남도 무안군 일로읍 공원길 48 (신도음료주식회사),58575,세븐일레븐 무안일로점,2.01708E+13,I,2018/08/31 23:59,,153476.1554,150066.3129,,,
14896,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320124950018087500007,20121109,,1,영업/정상,13,영업중,,,,,061-452-2044,,534844,전라남도 무안군 현경면 외반리 556번지 7호,전라남도 무안군 현경면 현해로 83,58512,씨유 무안현경점,2.01311E+13,I,2018/08/31 23:59,,146268.5628,169265.7854,,,
14897,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320124950018087500008,20121109,,1,영업/정상,13,영업중,,,,,614535374,,,전라남도 무안군 청계면 도림리 311번지 11호 하마복사,"전라남도 무안군 청계면 승달산길 41, 하마복사",58553,씨유 목포대하늘점,2.01804E+13,I,2018/08/31 23:59,,148183.5455,157001.1118,,,
14898,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320124950018087500010,20121109,,1,영업/정상,13,영업중,,,,,061-282-3892,,534821,전라남도 무안군 삼향읍 남악리 2094번지,전라남도 무안군 삼향읍 남악2로74번길 33,58566,CU 남악중앙점,2.01904E+13,U,2019/04/07 2:40,,150381.705,146184.835,,,
14899,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320154840022087500020,20150904,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 광영동 764번지 8호,전라남도 광양시 광영로 110 (광영동),57717,미니스톱 광영제일점,2.01904E+13,U,2019/04/26 2:40,,265449.3686,162980.6065,92.4,,
14900,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320164840022087500001,20160105,,1,영업/정상,13,영업중,,,,,061-761-0803,,,,"전라남도 광양시 광양읍 예구5길 14, 1층",57761,GS25덕례원룸,2.01601E+13,I,2018/08/31 23:59,,252043.6659,163016.0124,,,
14901,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320164840022087500002,20160222,,1,영업/정상,13,영업중,,,,,,,,,전라남도 광양시 항만9로 118 (중동),57793,미니스톱중마길호점,2.01602E+13,I,2018/08/31 23:59,,263668.7248,158782.172,,,
14902,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320164840022087500004,20160307,,1,영업/정상,13,영업중,,,,,061-793-5563,,,전라남도 광양시 광영동 764번지 4호,전라남도 광양시 광영로 118 (광영동),57717,세븐일레븐 광양현대점,2.01603E+13,I,2018/08/31 23:59,,265395.7717,163022.1354,125.4,,
14903,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320164840022087500005,20160324,,1,영업/정상,13,영업중,,,,,061-762-3608,,,,전라남도 광양시 광양읍 서평7길 19 (트라이얼마트),57736,트라이얼코리아 광양점,2.01603E+13,I,2018/08/31 23:59,,252809.9112,164872.5775,1650,,
14904,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320164840022087500008,20160519,,1,영업/정상,13,영업중,,,,,061-793-9814,,,,전라남도 광양시 중마용소7길 13 (중동),57783,미니스톱 중마에이스점,2.01605E+13,I,2018/08/31 23:59,,262825.6301,160725.1519,132,,
14905,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320164840022087500009,20160527,,1,영업/정상,13,영업중,,,,,061-791-6777,,,,"전라남도 광양시 광장로 112-20 (중동, 성호1차아파트)",57794,씨유 광양중동점,2.01605E+13,I,2018/08/31 23:59,,263574.9209,159548.3955,49.5,,
14906,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320164840022087500010,20160609,,1,영업/정상,13,영업중,,,,,061-768-9517,,,,전라남도 광양시 광양읍 회암1길 22,57762,(주)코리아세븐 광양덕례회암점,2.01606E+13,I,2018/08/31 23:59,,252450.2324,162983.5333,49.5,,
14907,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320164840022087500015,20160919,,1,영업/정상,13,영업중,,,,,061-791-9194,,,,전라남도 광양시 사동로 35 (중동),57782,(주)코리아세븐 광양중마시영점,2.01609E+13,I,2018/08/31 23:59,,262670.0642,160613.5594,3.3,,
14908,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320134800026087500025,20131206,,1,영업/정상,13,영업중,,,,,061.824.9221,,530831,전라남도 목포시 옥암동 1032번지,전라남도 목포시 통일대로75번길 23 (옥암동),58687,미니스톱옥암부영점,2.01312E+13,I,2018/08/31 23:59,,147857.9317,144984.5383,85,,
14909,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320134800026087500026,20131220,,1,영업/정상,13,영업중,,,,,243-8480,,530846,전라남도 목포시 죽교동 620번지 184호,전라남도 목포시 북항로 136 (죽교동),58714,미니스톱 목포북항점,2.01312E+13,I,2018/08/31 23:59,,142282.6069,144983.6833,84,,
14910,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320154800026087500011,20150527,,1,영업/정상,13,영업중,,,,,284-1282,,530826,전라남도 목포시 상동 983번지 5호,전라남도 목포시 신흥로 14-1 (상동),58691,알리바이 무진상사,2.01505E+13,I,2018/08/31 23:59,,147108.5783,144930.7909,264,,
14911,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320154800026087500013,20150623,,1,영업/정상,13,영업중,,,,,284-5333,,530777,전라남도 목포시 석현동,전라남도 목포시 영산로 607 (석현동),58616,씨유목포우진점,2.01506E+13,I,2018/08/31 23:59,,146898.4444,146859.2609,33,,
14912,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320154800026087500014,20150623,,1,영업/정상,13,영업중,,,,,,,530083,전라남도 목포시 해안동3가,"전라남도 목포시 유동로 7 (해안동3가, 상가동 515호)",530083,미니스톱 목포송광점,2.01506E+13,I,2018/08/31 23:59,,143326.6977,143116.7586,80,,
14913,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320154800026087500015,20150717,,1,영업/정상,13,영업중,,,,,281-3972,,530832,전라남도 목포시 옥암동 1017번지,전라남도 목포시 삼향천로 65 (옥암동),58685,GS25 목포사랑점,2.01507E+13,I,2018/08/31 23:59,,148031.485,145465.4797,140,,
14914,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320174820026087500030,20170925,,1,영업/정상,13,영업중,,,,,061-751-3156,,,전라남도 순천시 용당동 245번지,"전라남도 순천시 삼산로 135-4, 1층 (용당동)",57936,CU순천용당삼성점,2.01709E+13,I,2018/08/31 23:59,,245259.7946,164228.5215,,,
14915,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320174820026087500031,20170928,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 석현동 86번지 5호,"전라남도 순천시 중앙로 268, 1층 (석현동)",57938,GS25순천대학로,2.01709E+13,I,2018/08/31 23:59,,244145.9734,163525.8897,,,
14916,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320164950018087500004,20160517,,1,영업/정상,13,영업중,,,,,061-454-1753,,,,전라남도 무안군 무안읍 무안로 505,58524,GS25무안터미널점,2.01904E+13,U,2019/04/07 2:40,,152337.5715,165639.3504,10,,
14917,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320164950018087500008,20161208,,1,영업/정상,13,영업중,,,,,061-281-9957,,,,전라남도 무안군 일로읍 일로중앙로 31 (패밀리마트),58574,CU무안일로점,2.02204E+13,U,2022/04/16 2:40,,153362.4448,150352.6064,3.3,,
14918,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320174950018087500001,20170111,,1,영업/정상,13,영업중,,,,,061-284-9598,,,,"전라남도 무안군 삼향읍 남악3로82번길 20, 104호 (백석프라자)",58567,GS25 남악중앙점,2.01712E+13,I,2018/08/31 23:59,,150736.567,146135.7453,78,,
14919,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320174950018087500002,20170116,,1,영업/정상,13,영업중,,,,,061-281-7262,,,,"전라남도 무안군 삼향읍 남악5로52번길 13-7, 1층 9, 10호",58568,(주)코리아세븐 무안남악시장점,2.01904E+13,U,2019/04/07 2:40,,151685.9703,145874.4329,2,,
14920,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320154800026087500021,20150907,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 상동,전라남도 목포시 백년대로307번길 21 (상동),58666,미니스톱 부흥점,2.01509E+13,I,2018/08/31 23:59,,146848.0162,145422.4276,66,,
14921,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320154800026087500024,20151015,,1,영업/정상,13,영업중,,,,,,,,,전라남도 목포시 산양로 39 (대양동),58604,세븐일레븐 대양그린점,2.0151E+13,I,2018/08/31 23:59,,147504.9552,148835.8104,66,,
14922,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500019,20160805,,1,영업/정상,13,영업중,,,,,,,,,전라남도 목포시 용해지구로88번길 8 (용해동),58611,GS25용해골드점,2.01608E+13,I,2018/08/31 23:59,,144373,147027,3.3,,
14923,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500020,20160812,,1,영업/정상,13,영업중,,,,,245-0012,,,,전라남도 목포시 자유로 72 (산정동),58739,세븐일레븐목포산정자유점,2.01608E+13,I,2018/08/31 23:59,,144790.7391,144016.2983,,,
14924,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500022,20160902,,1,영업/정상,13,영업중,,,,,278-9410,,,,전라남도 목포시 영산로 519-3 (상동),58642,미니스톱 목포우리점,2.01609E+13,I,2018/08/31 23:59,,146614.7598,146109.7505,,,
14925,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500024,20161004,,1,영업/정상,13,영업중,,,,,,,,,전라남도 목포시 백년대로256번길 7 (상동),58697,GS25목포으뜸점,2.0161E+13,I,2018/08/31 23:59,,146568.7823,144893.3733,3.3,,
14926,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500025,20161019,,1,영업/정상,13,영업중,,,,,,,,,전라남도 목포시 신흥로 12 (상동),58691,씨유목포우성점,2.0161E+13,I,2018/08/31 23:59,,147078.3779,144913.5195,,,
14927,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320164800026087500026,20161104,,1,영업/정상,13,영업중,,,,,,,,,"전라남도 목포시 평화로 58, 1층 (상동)",58750,GS25하당광장점,2.01611E+13,I,2018/08/31 23:59,,147898.2794,144256.4217,3.3,,
14928,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320174840022087500003,20170221,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 중동 1831번지 5호,전라남도 광양시 길호길 9 (중동),57794,GS25중마중앙점,2.01702E+13,I,2018/08/31 23:59,,263637.1316,159443.8608,,,
14929,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320174840022087500009,20170630,,1,영업/정상,13,영업중,,,,,,,,,전라남도 광양시 광양읍 와룡길 31,57747,CU광양용강송보점,2.02204E+13,U,2022/04/30 2:40,,255784.9015,163630.1844,132,,
14930,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320174840022087500013,20170811,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 마동 1103번지 1호,전라남도 광양시 사동로 252 (마동),57774,미니스톱광양마동점,2.01708E+13,I,2018/08/31 23:59,,263439.6887,161683.3449,71,,
14931,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320174840022087500014,20170828,,1,영업/정상,13,영업중,,,,,,,,,전라남도 광양시 광양읍 매천로 842,57743,씨유광양읍점,2.01708E+13,I,2018/08/31 23:59,,253576.8208,164206.6256,,,
14932,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320174840022087500015,20170912,,1,영업/정상,13,영업중,,,,,,,,,전라남도 광양시 광양읍 갈티로 28,57761,미니스톱 광양덕례점,2.01904E+13,U,2019/04/26 2:40,,251656.9084,163226.0417,100,,
14933,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320174840022087500018,20171025,,1,영업/정상,13,영업중,,,,,,,,,전라남도 광양시 광양읍 신재로 48,57744,GS25광양읍점,2.01904E+13,U,2019/04/26 2:40,,253729.9713,164224.7266,,,
14934,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320174840022087500019,20171025,,1,영업/정상,13,영업중,,,,,,,,,전라남도 광양시 광양읍 칠성로 49,57741,CU광양칠성중앙점,2.01904E+13,U,2019/04/26 2:40,,253238.6673,164630.5446,165,,
14935,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320174840022087500020,20171123,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 광양읍 덕례리 1665번지 15호,"전라남도 광양시 광양읍 대림오성로 67, 1층",57761,세븐일레븐 광양덕례 희망점,2.01711E+13,I,2018/08/31 23:59,,251986.1967,163296.4178,82.5,,
14936,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320174840022087500021,20171227,,1,영업/정상,13,영업중,,,,,061-795-9900,,,전라남도 광양시 중동 1663번지 금광1차아파트,"전라남도 광양시 공영로 10 (중동, 금광1차아파트)",57791,이마트24R 광양금광점,2.02003E+13,U,2020/03/18 2:40,,262976.8484,159779.3915,112.2,,
14937,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320174950018087500013,20171222,,1,영업/정상,13,영업중,,,,,061-452-5559,,,전라남도 무안군 청계면 도림리 311번지 7호,"전라남도 무안군 청계면 승달산길 45, 1층",58553,(주)코리아세븐 무안목포대점,2.01904E+13,U,2019/04/07 2:40,,148207.4211,157032.4688,3.3,,
