연번,시군명,기관장,기관명,소재지 (도로명 주소),전화번호,진료과목,진료시간,비고,데이터기준일자
197,진도군,김영배,의신보건지소,전라남도 진도군 의신면 돈지1길 67-12,061-543-4114,내과+한의과,09:00~18:00,육지,2021-08-01
198,진도군,김영배,임회보건지소,전라남도 진도군 임회면 십일시길 53-3,061-543-3800,내과+한의과,09:00~18:00,육지,2021-08-01
199,진도군,김영배,지산보건지소,전라남도 진도군 지산면 인지인천2길 2,061-542-0302,내과+한의과+치과,09:00~18:00,육지,2021-08-01
200,진도군,김영배,조도보건지소,전라남도 진도군 조도면 창유2길 12-1,061-542-5153,내과+한의과+치과,09:00~18:00,도서,2021-08-01
201,신안군,강정희,압해읍보건지소,전라남도 신안군 압해읍 압해로 882,061-271-0577,내과+외과+소아과,09:00~18:00,육지,2021-08-01
202,신안군,강정희,지도읍보건지소,전라남도 신안군 지도읍 지도증도로 7,061-275-0317,가정의학과,09:00~18:00,육지,2021-08-01
203,신안군,강정희,증도면보건지소,전라남도 신안군 증도면 증도길 199,061-271-7532,내과+외과+소아과,09:00~18:00,육지,2021-08-01
204,신안군,강정희,임자면보건지소,전라남도 신안군 임자면 임자로 144,061-275-3388,내과+외과+소아과,09:00~18:00,도서,2021-08-01
205,신안군,강정희,자은면보건지소,전라남도 신안군 자은면 구영1길 8,061-271-8154,내과+외과+소아과,09:00~18:00,도서,2021-08-01
206,신안군,강정희,비금면보건지소,전라남도 신안군 비금면 읍동길 29-4,061-275-8434,내과+외과+소아과,09:00~18:00,도서,2021-08-01
207,신안군,강정희,도초면보건지소,전라남도 신안군 도초면 서남문로 1521-9,061-275-2301,내과+외과+소아과,09:00~18:00,도서,2021-08-01
208,신안군,강정희,흑산면보건지소,전라남도 신안군 흑산면 흑산일주로 16,061-275-9062,내과+외과+소아과,09:00~18:00,도서,2021-08-01
209,신안군,강정희,하의면보건지소,전라남도 신안군 하의면 하의로 250,061-275-4024,내과+외과+소아과,09:00~18:00,도서,2021-08-01
210,신안군,강정희,신의면보건지소,전라남도 신안군 신의면 신의로 661,061-271-7024,내과+외과+소아과,09:00~18:00,도서,2021-08-01
211,신안군,강정희,장산면보건지소,전라남도 신안군 장산면 장산로 326,061-271-2534,내과+외과+소아과,09:00~18:00,도서,2021-08-01
212,신안군,강정희,안좌면보건지소,전라남도 신안군 안좌면 중부로 870,061-262-4024,내과+외과+소아과,09:00~18:00,도서,2021-08-01
213,신안군,강정희,팔금면보건지소,전라남도 신안군 팔금면 삼층석탑길 144,061-271-1024,내과+외과+소아과,09:00~18:00,도서,2021-08-01
214,신안군,강정희,암태면보건지소,전라남도 신안군 암태면 승봉로 38,061-271-1573,내과+외과+소아과,09:00~18:00,도서,2021-08-01
215,신안군,강정희,가거도보건지소,전라남도 신안군 흑산면 가거도길 36,061-246-3585,내과+외과+소아과,09:00~18:00,도서,2021-08-01
216,신안군,강정희,홍도보건지소,전라남도 신안군 흑산면 홍도1길 65,061-246-3701,내과+외과+소아과,09:00~18:00,도서,2021-08-01
