fid,field_1,Unnamed: 0,약국명_y,주소_y,전화번호,좌표정보(X),좌표정보(Y),월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,시도명,시군구명,읍면명,회관명,소재지,Latitude,Longitude,규모(제곱미터),데이터기준일자,마을회관명,소재지도로명주소,회원수,대표자,대지면적,건축면적,경로당명,주소,연락처,연번,명칭,관장,시설소재지,시설설치일,위탁 또는 운영단체,보건소명,일반전화,팩스,우편번호,도로명주소,위치,시군명,기관장,기관명,소재지 (도로명 주소),진료과목,진료시간,비고,layer,path,ringId,distance,NUMPOINTS
"920",,,,,,,,,,,,,,,,전라남도,담양군,무정면,안평 마을회관,전라남도 무정면 안평리 202-1,35.2897628,127.0572436,98.73,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"921",,,,,,,,,,,,,,,,전라남도,담양군,무정면,덕곡 마을회관,전라남도 무정면 덕곡리 297-1,35.2969656,127.0638437,87.08,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"922",,,,,,,,,,,,,,,,전라남도,담양군,무정면,서흥1구 마을회관,전라남도 무정면 서흥1리 561-1,35.2948718,127.0301411,72.84,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"923",,,,,,,,,,,,,,,,전라남도,담양군,무정면,서흥2구 마을회관,전라남도 무정면 서흥2리 206-1,35.2948718,127.0301411,57.7,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"924",,,,,,,,,,,,,,,,전라남도,담양군,무정면,정석 마을회관,전라남도 무정면 정석리 157-11,35.2854816,127.0718657,66.1,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"925",,,,,,,,,,,,,,,,전라남도,담양군,무정면,평지 마을회관,전라남도 무정면 평지리 299-1,35.2823934,127.0642555,85.28,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"926",,,,,,,,,,,,,,,,전라남도,담양군,무정면,강정자 마을회관,전라남도 무정면 동강1리 325-1,35.2948718,127.0301411,84.55,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"927",,,,,,,,,,,,,,,,전라남도,담양군,무정면,등룡 마을회관,전라남도 무정면 오례2리 646,35.268562,127.087429,107.83,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"928",,,,,,,,,,,,,,,,전라남도,담양군,무정면,신촌 마을회관,전라남도 무정면 오례3리 114-6,35.268562,127.087429,81.28,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"929",,,,,,,,,,,,,,,,전라남도,담양군,금성면,외천 마을회관,전라남도 금성면 원리2리 177-1,35.3433824,127.0255134,76.91,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"930",,,,,,,,,,,,,,,,전라남도,담양군,금성면,석현 마을회관,전라남도 금성면 석현1리 163-1,35.3456651,127.0285797,138.6,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"931",,,,,,,,,,,,,,,,전라남도,담양군,금성면,무림동 마을회관,전라남도 금성면 석현2리 333-2,35.3456651,127.0285797,66.56,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"932",,,,,,,,,,,,,,,,전라남도,담양군,금성면,양지 마을회관,전라남도 금성면 대성1리  774,35.371239,127.01756,130.44,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"933",,,,,,,,,,,,,,,,전라남도,담양군,금성면,정각 마을회관,전라남도 금성면 대성1리 656-2,35.371239,127.01756,74.4,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"934",,,,,,,,,,,,,,,,전라남도,담양군,금성면,원대성 마을회관,전라남도 금성면 대성2리 560-8,35.3433824,127.0255134,95.61,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"935",,,,,,,,,,,,,,,,전라남도,담양군,금성면,봉곡 마을회관,전라남도 금성면 대성2리 583,35.3433824,127.0255134,40.9,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"936",,,,,,,,,,,,,,,,전라남도,담양군,금성면,원율 마을회관,전라남도 금성면 원율1리 256-6,35.35488,127.028838,67.79,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"937",,,,,,,,,,,,,,,,전라남도,담양군,금성면,오평 마을회관,전라남도 금성면 원율2리 106-10,35.35488,127.028838,114,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,0
"938",,,,,,,,,,,,,,,,전라남도,담양군,금성면,덕성 마을회관,전라남도 금성면 덕성1리 815-11,35.350162,127.05224,98.7,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"939",,,,,,,,,,,,,,,,전라남도,담양군,금성면,장항 마을회관,전라남도 금성면 봉서1리 692,35.350629,127.04505,75,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"940",,,,,,,,,,,,,,,,전라남도,담양군,금성면,대판 마을회관,전라남도 금성면 봉서1리 206,35.35053,127.045063,70.18,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"941",,,,,,,,,,,,,,,,전라남도,담양군,금성면,와룡 마을회관,전라남도 금성면 봉서2리 1112-1,35.35053,127.045063,109.69,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"942",,,,,,,,,,,,,,,,전라남도,담양군,금성면,대실 마을회관,전라남도 금성면 대곡1리  199-1,35.3433824,127.0255134,110.34,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"943",,,,,,,,,,,,,,,,전라남도,담양군,금성면,손오실 마을회관,전라남도 금성면 대곡2리 550,35.3433824,127.0255134,59.4,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
"944",,,,,,,,,,,,,,,,전라남도,담양군,금성면,산이천 마을회관,전라남도 금성면 대곡3리 637,35.3433824,127.0255134,64.8,2022/05/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경로담_담양,file:///C:/%EC%B4%9D%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527%20-%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EB%8B%B4%EC%96%91%EA%B5%B0_%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%20%EC%9A%B4%EC%98%81%ED%98%84%ED%99%A9_20220527.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=yes&subsetIndex=no&watchFile=no,"1",1000,1
