연번,경로당 명칭,관리기관,소재지,관리기관전화번호,데이터기준일자
310,성동,무안군,전라남도 무안군  망운면 서은길43,061-450-5524,2021-08-06
311,탄도,무안군,전라남도 무안군  망운면 탄도길3,061-450-5524,2021-08-06
312,해제분회,무안군,전라남도 무안군  해제면 현해로 1669,061-450-5524,2021-08-06
313,해제부녀,무안군,전라남도 무안군  해제면 현해로 1669,061-450-5524,2021-08-06
314,오류,무안군,전라남도 무안군  해제면 해제오류길12,061-450-5524,2021-08-06
315,용산,무안군,전라남도 무안군  해제면 용산길110,061-450-5524,2021-08-06
316,물암,무안군,전라남도 무안군  해제면 현해로 1230-3,061-450-5524,2021-08-06
317,언창,무안군,전라남도 무안군  해제면 현해로1442-45,061-450-5524,2021-08-06
318,월암,무안군,전라남도 무안군  해제면 현해로 1367-21,061-450-5524,2021-08-06
319,유투,무안군,전라남도 무안군  해제면 만송로13-11,061-450-5524,2021-08-06
320,도성,무안군,전라남도 무안군  해제면 도성길29,061-450-5524,2021-08-06
321,장성,무안군,전라남도 무안군  해제면 해제장성길101-5,061-450-5524,2021-08-06
322,이방,무안군,전라남도 무안군  해제면 베나무길105,061-450-5524,2021-08-06
323,기룡,무안군,전라남도 무안군  해제면 기룡길34-2,061-450-5524,2021-08-06
324,신만,무안군,전라남도 무안군  해제면 신만길40,061-450-5524,2021-08-06
325,진목,무안군,전라남도 무안군  해제면 진목길8-3,061-450-5524,2021-08-06
326,신풍,무안군,전라남도 무안군  해제면 신풍길10,061-450-5524,2021-08-06
327,노문,무안군,전라남도 무안군  해제면 노문래길17-10,061-450-5524,2021-08-06
328,심양,무안군,전라남도 무안군  해제면 만송로1289-14,061-450-5524,2021-08-06
329,송계,무안군,전라남도 무안군  해제면 만송로 975,061-450-5524,2021-08-06
330,입석,무안군,전라남도 무안군  해제면 입석2길 2,061-450-5524,2021-08-06
331,매곡,무안군,전라남도 무안군  해제면 매곡내분길60,061-450-5524,2021-08-06
332,외분,무안군,전라남도 무안군  해제면 양매길67-2,061-450-5524,2021-08-06
333,토치,무안군,전라남도 무안군  해제면 토치길 69,061-450-5524,2021-08-06
334,양간1리,무안군,전라남도 무안군  해제면 양간로110,061-450-5524,2021-08-06
335,양간2리,무안군,전라남도 무안군  해제면 봉대로36-18,061-450-5524,2021-08-06
336,응양,무안군,전라남도 무안군  해제면 응양길3,061-450-5524,2021-08-06
337,신흥,무안군,전라남도 무안군  해제면 해제신흥길 8,061-450-5524,2021-08-06
338,고읍,무안군,전라남도 무안군  해제면 고읍길37,061-450-5524,2021-08-06
339,신간,무안군,전라남도 무안군  해제면 양간천길17,061-450-5524,2021-08-06
340,은빛,무안군,전라남도 무안군  해제면 봉대로37-6,061-450-5524,2021-08-06
341,양간4리,무안군,전라남도 무안군  해제면 현해로1717-7,061-450-5524,2021-08-06
342,슬산,무안군,전라남도 무안군  해제면 슬산길 51-11,061-450-5524,2021-08-06
343,내분,무안군,전라남도 무안군  해제면 매곡내분길 96-4,061-450-5524,2021-08-06
344,사야,무안군,전라남도 무안군  해제면 사야길 60,061-450-5524,2021-08-06
345,신사,무안군,전라남도 무안군  해제면 신사1길2,061-450-5524,2021-08-06
346,백학,무안군,전라남도 무안군  해제면 백학길 126,061-450-5524,2021-08-06
347,학암,무안군,전라남도 무안군  해제면 학암길 5,061-450-5524,2021-08-06
348,송전,무안군,전라남도 무안군  해제면 송전길17,061-450-5524,2021-08-06
349,석산,무안군,전라남도 무안군  해제면 동학길 79,061-450-5524,2021-08-06
350,용흥,무안군,전라남도 무안군  해제면 봉대로558,061-450-5524,2021-08-06
351,감정,무안군,전라남도 무안군  해제면 감정길4,061-450-5524,2021-08-06
352,수포,무안군,전라남도 무안군  해제면 봉대로 714,061-450-5524,2021-08-06
353,임치,무안군,전라남도 무안군  해제면 임치길 72-4,061-450-5524,2021-08-06
354,발산,무안군,전라남도 무안군  해제면 발산길28-1,061-450-5524,2021-08-06
355,광천 ,무안군,전라남도 무안군  해제면 광천길36,061-450-5524,2021-08-06
356,대천,무안군,전라남도 무안군  해제면 큰샘길27,061-450-5524,2021-08-06
357,신등,무안군,전라남도 무안군  해제면 신등길 67,061-450-5524,2021-08-06
358,남부,무안군,전라남도 무안군  해제면 현해로 2110,061-450-5524,2021-08-06
359,구등,무안군,전라남도 무안군  해제면 구등길43-6,061-450-5524,2021-08-06
360,강산,무안군,전라남도 무안군  해제면 산길로 188,061-450-5524,2021-08-06
361,장동,무안군,전라남도 무안군  해제면 창매로121,061-450-5524,2021-08-06
362,보천,무안군,전라남도 무안군  해제면 보천길 92,061-450-5524,2021-08-06
363,백동,무안군,전라남도 무안군  해제면 백동길77,061-450-5524,2021-08-06
364,돌기,무안군,전라남도 무안군  해제면 창매로21,061-450-5524,2021-08-06
365,창산,무안군,전라남도 무안군  해제면 창산길23,061-450-5524,2021-08-06
366,매당,무안군,전라남도 무안군  해제면 창매로425,061-450-5524,2021-08-06
367,매안,무안군,전라남도 무안군  해제면 매안2길 3,061-450-5524,2021-08-06
368,명양,무안군,전라남도 무안군  해제면 명양길 61,061-450-5524,2021-08-06
369,신월,무안군,전라남도 무안군  해제면 장강길80,061-450-5524,2021-08-06
370,운남분회,무안군,전라남도 무안군  운남면 운해로568-19,061-450-5524,2021-08-06
371,운남여자,무안군,전라남도 무안군  운남면 운해로568-16,061-450-5524,2021-08-06
372,두곡,무안군,전라남도 무안군  운남면 두곡길69,061-450-5524,2021-08-06
373,둔전,무안군,전라남도 무안군  운남면 와루로50,061-450-5524,2021-08-06
374,팔학,무안군,전라남도 무안군  운남면 운해로670-18,061-450-5524,2021-08-06
375,원하묘,무안군,전라남도 무안군  운남면 하묘길67-1,061-450-5524,2021-08-06
376,신촌,무안군,전라남도 무안군  운남면 운남신촌길119-6,061-450-5524,2021-08-06
377,원동암,무안군,전라남도 무안군  운남면 원동암길95,061-450-5524,2021-08-06
378,신기,무안군,전라남도 무안군  운남면 운남새터길58-24,061-450-5524,2021-08-06
379,죽산,무안군,전라남도 무안군  운남면 양금로361-16,061-450-5524,2021-08-06
380,영해,무안군,전라남도 무안군  운남면 영해촌길34-8,061-450-5524,2021-08-06
381,용동,무안군,전라남도 무안군  운남면 영해로598,061-450-5524,2021-08-06
382,운남동,무안군,전라남도 무안군  운남면 운해로568-7,061-450-5524,2021-08-06
383,저동,무안군,전라남도 무안군  운남면 저동길 64,061-450-5524,2021-08-06
384,양곡,무안군,전라남도 무안군  운남면 양곡길22,061-450-5524,2021-08-06
385,연동,무안군,전라남도 무안군  운남면 연동길27,061-450-5524,2021-08-06
386,내화,무안군,전라남도 무안군  운남면 내화길26-5,061-450-5524,2021-08-06
387,자작,무안군,전라남도 무안군  운남면 까치길27,061-450-5524,2021-08-06
388,내동,무안군,전라남도 무안군  운남면 내동길 59,061-450-5524,2021-08-06
389,원동,무안군,전라남도 무안군  운남면 원동길76,061-450-5524,2021-08-06
390,월악,무안군,전라남도 무안군  운남면 월악길138,061-450-5524,2021-08-06
391,신월,무안군,전라남도 무안군  운남면 새달길40,061-450-5524,2021-08-06
392,신흥,무안군,전라남도 무안군  운남면 신흥길 42,061-450-5524,2021-08-06
393,남촌,무안군,전라남도 무안군  운남면 땅앞로190,061-450-5524,2021-08-06
394,항장,무안군,전라남도 무안군  운남면 항장길22,061-450-5524,2021-08-06
395,대박,무안군,전라남도 무안군  운남면 대박길4,061-450-5524,2021-08-06
396,도원,무안군,전라남도 무안군  운남면 도원길55,061-450-5524,2021-08-06
397,학례,무안군,전라남도 무안군  운남면 운해로194,061-450-5524,2021-08-06
398,원성내,무안군,전라남도 무안군  운남면 이기촌길24,061-450-5524,2021-08-06
399,농장,무안군,전라남도 무안군  운남면 농장길50,061-450-5524,2021-08-06
400,장군,무안군,전라남도 무안군  현경면 장군로688,061-450-5524,2021-08-06
401,남악모아엘가아파트경로당,무안군,전라남도 무안군  삼향읍 남악4로34번길8,061-450-5524,2021-08-06
402,청계면월암,무안군,전라남도 무안군  청계면 도림길 33-13,061-450-5524,2021-08-06
403,더트리폴리앙,무안군,전라남도 무안군  삼향읍 남악3로71번길,061-450-5524,2021-08-06
404,문화촌,무안군,전라남도 무안군  청계면 백련동1길 5,061-450-5524,2021-08-06
405,해아마을,무안군,"전라남도 무안군  무안읍 하마로 31, 아뜨리움@",061-450-5524,2021-08-06
406,상천,무안군,전라남도 무안군  청계면 상천길 44-44,061-450-5524,2021-08-06
407,삼봉,무안군,전라남도 무안군  해제면 만송로 1030-61,061-450-5524,2021-08-06
408,구산,무안군,전라남도 무안군  현경면 구산길 10,061-450-5524,2021-08-06
409,발산,무안군,전라남도 무안군  무안읍 무안발산길 27,061-450-5524,2021-08-06
410,센트레빌,무안군,"전라남도 무안군  삼향읍 남악로250번길 60, 남악센트레빌리버파크",061-450-5524,2021-08-06
411,오룡푸르지오1차,무안군,전라남도 무안군  일로읍 오룡중앙로 37,061-450-5524,2021-08-06
