연번,등록번호,경로당명,등록년월일,소재지,행정리,자연마을명,대표자,토지,건물,구조,연 락 처
210,260,가오경로당,2004-12-29,불갑면 부춘길 38,부춘리 ,가오,김호윤,231,78,시멘트벽돌슬라브,061-352-0662
211,280,회복경로당,2006-12-26,"불갑면 쌍운리 397,397-1",쌍운리 ,회복,임균례,170,62.73,철근콘크리트슬라브,061-353-6229
212,281,차반경로당,2007-01-02,불갑면 건무리 266-2,건무리 ,차반,강대윤,521,70.17,조적조슬라브,061-353-5844
213,282,운제경로당,2007-01-02,불갑면 쌍운리 112-7,쌍운리 ,운제,강화원,329,73.75,조적조슬라브,
214,326,녹동경로당,2008-12-23,불갑면 생곡리 178-1,생곡리 ,녹동,박선일,492,81.41,콘크리트/슬라브,061-352-7976
215,334,마산경로당,2009-04-28,불갑면 부춘리 117,부춘리 ,마산,양대현,298,69.9,벽돌구조,061-351-0194
216,337,월산경로당,2009-09-10,불갑면 순용리 70-1,순용리 ,월산,김선동,965,99.8,벽돌구조,061-352-3509
217,346,유봉경로당,2010-01-04,불갑면 금계리 624-2,금계리 ,유봉,강성진,357,84.59,벽돌철근콘크리트,061-351-7890
218,2,가사경로당,1989-04-25,군서면 가사길 96-3,가사1리,가사,김원,992,89.2,조적조슬라브,061-352-3218
219,4,남죽경로당,1989-04-25,군서면 군서로 38-17,남죽1리,남죽,김청현,1111,336.4,조적조슬라브,061-353-0714
220,6,덕산상하경로당,1989-04-25,군서면 삼산로278-4,덕산2리,하소,정희술,273,78.63,조적조슬라브,061-353-9387
221,8,마읍경로당,1989-04-25,군서면 군서로2길 57-8,마읍1리,마읍,정장환,311,69.4,조적조슬라브,061-352-0093
222,10,갈마경로당,1989-04-25,군서면 성지로 746,만곡3리,갈마,이문엽,245,66.9,벽돌기와,061-353-4804
223,12,보라경로당,1989-04-25,군서면 함영로7길 35-5,보라1리,보라,김영상,146,99.9,조적조슬라브,061-351-1808
224,72,고참경로당,1990-09-08,군서면 성지로3길 52,만금1리,고참,김옥현,1174,85.14,조적조슬라브,061-351-4888
225,122,남계경로당,1997-11-01,군서면 성지로6길 73,남계1리,남계,정갑도,320,64.8,조적조슬라브,061-351-3834
226,125,남동경로당,1998-01-20,군서면 천년로7길 105,남죽2리,남동,박형수,298,66.96,조적조슬라브,061-352-3361
227,154,장호경로당,2000-03-20,군서면 관산로1길 151,만금2리,장호,장민기,210,75.6,조적조슬라브,061-353-3889
228,155,매산경로당,2000-03-20,군서면 삼산로 76,매산1리,매산,정건자랑,280,66.96,조적조슬라브,061-351-4266
229,162,내기경로당,2001-01-05,군서면 함영로6길 25-21,보라2리,내기,김수길,196,67.38,조적조슬라브,061-353-2542
230,165,오송경로당,2001-02-10,군서면 복호로 167-5,만곡4리,관산,이종길,120,39.6,블럭스레이트,061-353-7944
231,168,원만곡경로당,2001-04-13,군서면 서금길2길 78,만곡1리,원만곡,조영례,235,78.15,조적조슬라브,061-351-2773
232,173,신송경로당,2001-05-22,군서면 성지로4길 29-12,송학1리,신송,남복우,315,66.96,조적조슬라브,061-353-9359
233,211,원덕산경로당,2002-12-14,군서면 삼산로3길 25,덕산1리,원덕산,윤순이,301,66.78,조적조슬라브,061-352-2543
234,219,덕동경로당,2003-02-10,군서면 관산로 175,송학2리,덕동,장판용,293,75.78,조적조슬라브,061-351-5088
235,224,영산경로당,2003-03-18,군서면 백수로 1527-15,만곡2리,영산,김순임,827,88.66,조적조슬라브,061-352-7060
236,242,소매이경로당,2003-12-29,군서면 삼산로4길 12-14,덕산2리,하소,황덕순,304,59.4,조적조슬라브,061-353-9387
237,244,백동경로당,2004-02-04,군서면 삼산로1길 35-6,매산2리,백동,채중환,202,79.33,조적조슬라브,061-351-0315
238,283,만년경로당,2007-01-11,군서면 가남로 95,가사2리,만년,김재수,92,37.75,조적조슬라브,061-351-4648
239,287,사동경로당,2007-02-09,군서면 군서로 241-15,마읍2리,사동,임동순,617,69,조적조슬라브,061-351-1399
240,308,한백경로당,2008-05-07,군서면 삼산로2길 19,매산2리,한백,정균수,765,66,조적조슬라브,061-351-0609
241,318,갈마여자경로당,2008-10-09,군서면 백수로 1427-4,만곡3리,갈마,홍분례,572,93.06,벽돌구주/철근콘크리트,061-352-3007
242,333,안터경로당,2009-04-21,군서면 천년로7길 39-3,남죽2리,안터,정석성,324,69.48,벽돌구조,061-353-3287
243,338,영동경로당,2009-09-11,군서면 서금길2길 144-15,만곡2리,영동,김국택,,70.08,벽돌구조,061-351-6055
244,1,성남제경로당,1989-04-28,군남면 군불로 75,포천2리,포천,정선광,729,198.4,라멘조,061-353-0280
245,3,외간정경로당,1989-04-28,군남면 동간길1길 23,동간2리,서편,이관우,235,,시멘트벽돌조,
246,5,장고경로당,1989-04-28,군남면 군불로1길 31-0,도장1리,장고,정희성,182,91.2,시멘트벽돌조,061-351-1291
247,7,심향당경로당,1989-04-28,군남면 육창로 532,대덕리1,대창,지병균,233,66.78,시멘트벽돌조,061-353-8256
248,9,동고경로당,1989-04-28,군남면 천년로5길 18-3,설매1리,동고,김희삼,225,87.58,시멘트벽돌조,061-353-2546
249,11,치산경로당,1989-04-28,군남면 봉덕로12길 16 ,설매2리,치산,김금수,109,83,블록,061-352-2516
250,13,초두경로당,1989-04-28,군남면 월죽로3길 44-9 ,월흥2리,초두,황순모,344,124.86,철근콘크리트,061-352-7211
251,15,반안경로당,1989-04-28,군남면 봉덕로7길 48,반안1리,반안,정종진,873,107.4,시멘트벽돌,
252,17,중촌경로당,1990-05-31,군남면 월죽로2길 23,월흥1리,중촌,백상규,421,85.14,철근콘크리트,061-351-1959
253,19,동편경로당,1991-03-15,군남면 동간길2길 12,동간1리,동편,김두천,549,132,벽돌조,
254,21,도철경로당,1991-06-27,군남면 군불로2길 36-0,도장2리,도철,조용채,598,95.04,적벽돌,061-351-4954
255,22,장혈경로당,1991-06-27,군남면 남양길4길 14,양덕1리,장혈,김영윤,654,91,시멘트벽돌조,061-351-4628
256,24,학구정경로당,1995-04-06,군남면 군불로 70-5,포천2리,포천,김덕례,673,69.3,벽돌,061-351-4987
257,26,동월경로당,1997-07-24,군남면 봉덕로10길 7-2 ,동월1리,순천,박무남,218,66.15,벽돌조,061-351-4450
258,28,용암경로당,1998-03-16,군남면 육창로1길 50,용암1리,평암,지재용,325,95.67,시멘트벽돌,061-352-2801
259,31,구산경로당,2000-06-07,군남면 남양길2길 33,양덕4리,구산,이윤수,357,33.3,블록,
260,32,검덕경로당,2000-06-07,군남면 남양길3길 3,양덕5리,검덕,황동식,1081,33.3,조립식,061-352-0529
261,33,석천경로당,2001-10-08,군남면 봉덕로10길 50-11,설매3리,석천,양남용,235,75.8,적벽돌,061-352-2996
262,34,포천경로당,2001-12-04,군남면 군불로 59-1,포천1리,포천,김용주,1365,141.6,벽돌,061-353-9994
263,35,대화경로당,2002-03-06,군남면 육창로4길 63,대덕2리,한수,장경수,174,59.5,목조,
264,36,시목정경로당,2002-09-26,군남면 봉덕로8길 24,동월3리,시화,이만진,660,87,시멘트벽돌조,061-353-1898
265,37,갈마경로당,2002-12-30,군남면 군불로 181-6,백양2리,갈마,김학명,209,46,경랑철골구조,
266,38,양지경로당,2003-03-18,군남면 군불로 396-3,포천2리,양지,김주홍,734,52.8,블록,061-353-5521
267,40,남창경로당,2003-03-18,군남면 상남로 332-4,남창2리,석암,최봉훈,995,62.1,조립식판넬,
268,42,월암경로당,2003-03-18,군남면 봉덕로9길 40-2,동월2리,월암,조보현,45,42,조립식,061-351-1451
269,45,양호경로당,2004-01-07,군남면 남양길 303-8,양덕3리,양호,조관현,240,29.2,콘테이너,
270,43,대삼동경로당,2004-11-19,군남면봉덕로1길 62,설매2리,대삼동,최순금,120,43,시멘트벽돌조,
271,47,상광암경로당,2004-12-22,군남면 광암로 93-24,대덕4리,상광암,김채규,152,40,경량철골구조,
272,271,백암경로당,2006-10-27,군남면 육창로6길 23,백양1리,백암,양인순,511,88.26,시멘트벽돌슬라브,
273,304,봉덕경로당,2008-03-19,군남면 육창로5길 25-3,대덕1리 ,봉덕,김용표,,86.64,조적조슬라브,
274,311,금정경로당,2008-07-10,군남면 남양길120,남창1리 ,서정,정동순,344,80.5,조적조슬라브,
275,319,율곡경로당,2008-10-22,군남면 광암로 399-78,대덕5리 ,,박병모,,,,
276,329,아양경로당,2009-02-24,군남면 육창로6길 54-9,백양2리 ,,한창석,330,83,콘크리트/슬라브,
277,340,반안여성경로당,2009-11-30,군남면 봉덕로7길 10,반안리 ,반안,정순임,252,76.59,벽돌스레트,061-352-0305
278,343,오강경로당,2009-12-11,군남면 천년로6길 22,동간2리 ,오강,심기덕,132,44,경량철골구조,
279,23,두우리경로당,1989-04-26,염산면 칠산로791-49,두우1리,당두,함금동,264,66.36,시멘트벽돌,061-353-6705
280,25,염산경로당,1989-04-26,염산면 칠산로 79,봉남1리,동촌,김봉오,492,82.3,목조,061-352-9163
281,27,남계경로당,1989-04-26,염산면 상남로1길 294-2,상계3리,남계,장판옥,371,82.5,시멘트벽돌,061-351-1610
282,29,서학구경로당,1989-04-26,염산면 칠산로7길 67,야월2리,야장,이시성,161,72.6,시멘트벽돌,061-353-3693
283,79,신성경로당,1992-01-08,염산면 봉덕로 466,신성1리,성상,조병주,744,118.92,시멘트벽돌,061-353-6705
284,90,야월1리경로당,1994-05-06,염산면 칠산로 553-6,야월1리,이리,손상기,412,89.61,시멘트벽돌,061-351-0583
285,132,설도경로당,1998-05-19,염산면 향화로5길 23-23,봉남4리,설도,황경연,429.8,100.02,조적,061-352-2695
286,134,양일경로당,1998-05-14,염산면 칠산로 240,봉남2리,양일,정연식,375,96.44,시멘트벽돌조,061-352-2919
287,137,신오경로당,1998-12-04,염산면 향화로 512,오동2리,신오,박효열,450,84.6,시멘트벽돌조,061-353-0870
288,141,오신경로당,1998-04-26,염산면 봉덕로 699-10,축동3리,신동,주명수,88.5,99.34,시멘트벽돌,061-351-1040
289,145,한봉경로당,1999-09-18,염산면 천년로 83,봉남5리,한시,김삭수,406,100,시멘트벽돌,061-353-8977
290,152,상오경로당,2000-02-28,염산면 오동길1길 232-3,오동1리,상오,임한배,780,66,시멘트벽돌,061-352-2819
291,159,신창경로당,2000-05-24,염산면 오동길 194,상계3리,신창,신종기,608,85.59,시멘트벽돌,061-352-5978
292,161,운곡경로당,2000-11-27,염산면 칠산로8길 85-16,야월3리,운곡,서영환,640,71.28,시멘트벽돌,061-353-9155
293,190,신옥경로당,1996-04-15,염산면 향화로4길 80,옥실1리,신옥,정정봉,245,83,적벽돌,061-353-0996
294,193,동산경로당,2002-02-04,염산면 봉덕로4길 3-8,축동4리,동산,조정현,175,99.9,시멘트벽돌,061-352-5773
295,201,노현경로당,2002-06-10,염산면 봉덕로 257,신성2리,노현,박홍주,496,73.74,시멘트벽돌,061-352-8428
296,203,월평경로당,2002-10-15,염산면 칠산로5길 289,야월4리,월평,강복연,660,100.3,시멘트블럭,
297,204,축원경로당,2002-11-18,염산면 봉덕로6길 52-9,축동1리,축장,김용수,410,99.4,시멘트벽돌,061-353-4625
298,205,봉서경로당,2002-11-18,염산면 상계로1길 34-5,상계1리,봉서,장세진,304,82.7,시멘트벽돌,061-353-0930
299,206,합산경로당,2002-11-18,염산면 칠산로5길 43,봉남3리,합산,김성호,408,99.7,시멘트벽돌,061-351-2942
300,207,상정경로당,2002-11-18,염산면 칠산로10길 14-3,두우2리,상정,김호성,165,65.73,시멘트벽돌,061-353-8911
301,208,입동경로당,2002-11-18,염산면 칠산로 501,송암2리,입동,박균환,96,57.8,시멘트벽돌,061-351-4569
302,209,운송정경로당,2002-11-18,염산면 칠산로1길 30,봉남1리,동촌,김순옥,136,172.4,철근콘크리트,061-351-0702
303,245,산수정경로당,2004-02-12,염산면 상남로1길17,상계3리,남계,김영자,371,61.76,시멘트벽돌,061-353-1610
304,249,신대경로당,2004-03-24,염산면 봉덕로 122,송암1리,신대,정성천,226,88.92,시멘트벽돌,
305,262,송각정경로당,2005-03-21,염산면 향화로 325-6,옥실2리,송정,강용후,331,96.54,조적,061-351-2378
306,265,평촌경로당,2005-12-29,염산면 천년로 269-18,상계3리,평촌,나공주,587,107.11,조적,
307,267,창우경로당,2006-03-10,염산면 창우로 248,두우3리,창우,이광복,185,63.84,철골구조,
308,273,연화경로당,2006-11-14,염산면 오동길2길 106,오동3리,연화,박만국,374,77.52,시멘트벽돌슬라브,061-353-8963
309,302,신동경로당,2008-01-01,염산면 봉덕로 673,축동3리,신동,문대순,195,63.42,조적조스라브,
310,309,도사경로당,2008-05-08,염산면 봉덕로3길 57-5,신성1리 ,도사,오수복,395.4,84.24,조적조스라브,
311,315,상논경로당,2008-08-08,염산면 천년로4길 132,상계2리 ,상논,이천수,400,66.6,조적조스라브,
312,320,대무경로당,2008-10-29,염산면 향화로 103,옥실4리 ,대무,김길원,235,84.12,조적조스라브,
313,328,미동경로당,2009-02-17,염산면 향화로 219,옥실3리 ,미동,한영기,496,83.79,조적구조,
314,332,봉양경로당,2009-03-17,염산면 칠산로3길 30-3,봉남1리 ,봉양,강호성,649,82.6,벽돌콘크리트,
315,344,내남경로당,2009-12-15,염산면 칠산로3길 172,봉남2리 ,내남,김종인,372,71.32,벽돌스라브,
316,354,야장경로당,2010-09-13,염산면 칠산로7길 50,야월2리,야장,이순님,581,88.05,철근콘크리트,
317,46,법성남자경로당,1989-05-21,법성면 법성포로 23-33,법성3리,밤모실,정경성,510,189,목조기와,061-356-1433
318,49,법성여자경로당,1989-05-21,법성면 법성길1길 1,법성2리,,강순임,156,86.93,시멘트벽돌,061-356-5935
319,48,입정경로당,1989-05-21,법성면 입덕길 91-6,입암리 ,입정,이신례,296,57.2,시멘트벽돌,061-356-6455
320,107,복용경로당,1996-12-31,법성면 대덕길 128,대덕3리,복룡동,장순이,346,73,시멘트벽돌,061-356-3088
321,114,신두암경로당,1997-07-01,법성면 화천길1길 171,화천2리,신두암,노종영,314,53,목조,061-356-4566
322,120,용현경로당,1997-09-24,법성면 용덕로1길 53,용덕1리,용현,주영동,153,74.5,시멘트벽돌,061-356-1211
323,121,언목경로당,1997-10-20,법성면 대덕길1길 59,대덕1리,언목,이귀석,387,66,시멘트벽돌,
324,129,월산경로당,1998-03-03,법성면 용성월산로5길 118-3,월산1리,월계,한동태,1108.7,66.15,시멘트벽돌,061-353-2331
325,138,부귀동경로당,1999-01-15,법성면 신장길3길 59,신장1리,부귀동,장일랑,271,66.24,시멘트벽돌,061-356-0666
326,139,화천1리경로당,1999-01-15,법성면 화천길 82,화천1리,천년동,조금남,165,65.34,시멘트벽돌,061-356-4632
327,148,신덕동경로당,2000-01-22,법성면 영광로1길 28,덕흥1리,신덕동,강의원,604,77,시멘트벽돌,061-356-6332
328,151,부용경로당,2000-02-28,법성면 진굴비길2길 1,진내1리,부용,김연심,86,58.41,시멘트벽돌,
329,170,신계동경로당,2001-04-27,법성면 용덕로4길 143,용덕2리,신계동,김상선,274,94,시멘트벽돌,
330,186,성재동경로당,2001-11-13,법성면 대덕길4길 83,대덕2리,성재동,김광호,411,81.6,시멘트벽돌,061-356-0009
331,213,삼당1구경로당,2002-12-30,법성면 샘목로 326,삼당1리,당산,김천규,311,56.2,시멘트벽돌,061-356-3958
332,228,호장동경로당,2003-04-29,법성면 샘목로 85-10,법성4리,호장동,김진호,332,88.2,시멘트벽돌,
333,243,삼미경로당,2003-12-29,법성면 삼당길3길 1,삼당2리,삼미,황익순,163,64.66,시멘트벽돌,061-356-4704
334,247,신산동경로당,2004-03-05,법성면 영광로4길 151-4,신장3리,신산동,유재열,332,75,시멘트벽돌,061-356-0730
335,250,지장리경로당,2004-03-24,법성면 영광로3길 21-1,덕흥2리,지장리,이강희,357,96.9,시멘트벽돌,061-356-8970
336,277,발막경로당,2006-12-13,법성면 용덕로3길 6-5,용덕1리,발막,이주연,188,60,시멘트벽돌슬라브,061-356-0088
337,285,장자동경로당,2007-01-19,법성면 신장길6길 9,신장3리,장자동,김원섭,715,,조적조슬라브,061-352-1714
338,286,검산경로당,2007-02-05,법성면 연우로3길 13-4,법성7리,검산,최봉길,463,67.95,조적조슬라브,
339,290,작은언목경로당,2007-03-09,법성면 대덕길3길 18,대덕1리,언목,김인엽,228,84.61,조적조슬라브,
340,291,삼당리당산경로당,2007-03-22,법성면 삼당길2길 17,삼당1리,당산,황치원,330,86.11,조적조슬라브,
341,293,용성2리경로당,2007-06-28,법성면 용성월산로4길 3,용성2리,용성,배종익,,74.65,벽돌조/슬라브,
342,294,성산아파트경로당,2007-07-09,법성면 법성길1길 51,법성5리,,장양운,,64.38,철근콘크리트조/슬라브,061-356-0553
343,298,신흥동장전경로당,2007-09-13,법성면 입덕길1길 20-9,덕흥1리, 장전,양회업,840,74.65,조적조슬라브,
344,301,용성리성촌경로당,2007-12-10,법성면 용성월산로1길 9-6,용성1리,성촌,전진채,294,74.65,조적조슬라브,
345,314,지와열경로당,2008-08-05,법성면 영광로5길 8-8,덕흥2리,지안일,오윤생,433,74.65,조적조슬라브,
346,313,여술경로당,2008-08-05,법성면 신장길1길 59,신장2리,여술,정영섭,230,74.65,조적조슬라브,
347,316,자갈금경로당,2008-08-20,법성면 백제문화로1길 110,진내3리,자갈금,주남형,205,82.84,조적조슬라브,
348,325,석장리경로당,2008-11-14,법성면 화천길 13,화천1리,석장리,최영준,856,73.8,시멘트벽돌/철근콘크리트,
349,327,장수촌경로당,2009-02-12,법성면 신장길4길 22,신장2리,장수촌,박영수,,4935,조적,
350,343,법성6리경로당,2009-12-11,법성면 굴비로4길 5-15,법성6리,,조오목,225,86.44,벽돌조/콘크리트,
351,350,영산경로당,2010-04-22,법성면 용성월산로6길 106-21,월산2리,산아치,김상문,297,72,시멘트벽돌,061-353-2289
352,356,법성1리경로당,2010-09-27,법성면 굴비로2길 16-4,법성1리,,김두만,,,,
353,,만수경로당,,법성면 굴비로1길 62-9,진내2리 ,다랑가지,윤사중,,,,
354,,화장동경로당,,법성면 월산로 510,월산1리,화장동,편무생,,,,
355,68,상낙월경로당,1989-06-16,낙월면 낙월길1길 27,상낙월리,없음,박균영,251,73.54,시멘트벽돌,061-353-7601
356,69,송이경로당,1989-06-16,낙월면 송이길 25-1,송이리 ,없음,하대정,431,50.25,시멘트블럭,
357,70,월촌경로당,1989-06-16,낙월면 안마길 41-8,월촌리 ,없음,김석현,545,77,시멘트벽돌,
358,104,하낙월경로당,1996-09-17,낙월면 낙월길 232,하낙월리,없음,장영진,198,77,시멘트벽돌,061-352-0343
359,147,신기경로당,1999-11-29,낙월면 안마길 127-3,신기리 ,없음,최인학,99,77.5,시멘트블럭조,
