연번,명칭,경로당주소,전화번호
399,내백경로당,전라남도 보성군 겸백면 배실길 88,
400,연동여자경로당,전라남도 보성군 벌교읍 벌교연동길 166,
401,벌교장미경로당,전라남도 보성군 벌교읍 홍암로 116-10 장미@ 제2동 제2층,
402,선근경로당,전라남도 보성군 벌교읍 채동선로181-3,
403,동윤경로당,전라남도 보성군 보성읍 현충로 118,
404,고읍담안경로당,전라남도 보성군 벌교읍 고읍2길 29,
405,동곡새마을경로당,전라남도 보성군 조성면 동곡1길 53,
406,계두경로당,전라남도 보성군 벌교읍 태백산맥길 52-4,
407,금광경로당,전라남도 보성군 회천면 금광길 9-1,
408,죽림경로당,전라남도 보성군 득량면 마천길 182,
409,신흥2동경로당,전라남도 보성군 보성읍 현충로 57-26,
410,갈마경로당,전라남도 보성군 회천면 천포길 180-24,
411,상장경로당,전라남도 보성군 겸백면 정골길 114-8,
412,고전경로당,전라남도 보성군 겸백면 고전길 15,
413,상빙경로당,전라남도 보성군 율어면 상빙길 50-1,061-852-7232
414,방축경로당,전라남도 보성군 보성읍 보성봉산길 59,
415,덕정경로당,전라남도 보성군 보성읍 보성덕정길 51,
416,양동경로당,전라남도 보성군 회천면 영천길 369,
417,박실경로당,전라남도 보성군 득량면 박실길 15-5,061-853-3997
418,초암경로당,전라남도 보성군 득량면 득량초암길 45,
419,청포경로당,전라남도 보성군 회천면 공룡로 526-4,
420,금산경로당,전라남도 보성군 벌교읍 금산길 88,061-857-7109
421,복재경로당,전라남도 보성군 득량면 마천길 112,
422,회정LH천년 나무경로당,전라남도 보성군 벌교읍 못골길12(주공아파트),
423,세망경로당,전라남도 보성군 벌교읍 홍교길 30-3,061-857-0167
424,신기경로당,전라남도 보성군 벌교읍 전동2길 18,
425,은덕2리경로당,전라남도 보성군 겸백면 은덕길 148-4,
426,박강경로당,전라남도 보성군 벌교읍 박강길 35,
427,대정경로당,전라남도 보성군 벌교읍 벌교세동길 50,
428,성암해그린경로당,전라남도 보성군 보성읍 현충로 12,
429,동윤2동 경로당,전라남도 보성군 보성읍 동윤길 19,
430,서봉경로당,전라남도 보성군 복내면 진척서봉길 156-6,
431,다포경로당,전라남도 보성군 보성읍 녹차로 903,
432,위상천경로당,전라남도 보성군 득량면 서관기길 16,
433,봉천공동경로당,전라남도 보성군 복내면 버드골길 16-6,
434,덕정3반경로당,전라남도 보성군 조성면 조성덕정길 21-3,
435,부평경로당,전라남도 보성군 보성읍 태평길 4,
436,미력풍치경로당,전라남도 보성군 미력면 풍치길 77,
437,겸백양지경로당,전라남도 보성군 겸백면 배실길 40-15,
438,회룡동경로당,전라남도 보성군 득량면 득량회룡길 2,
439,율어서동경로당,전라남도 보성군 율어면 장수동길 196-24,
440,지음마을경로당,전라남도 보성군 벌교읍 장암길 105-13,
441,센트럴뷰경로당,"전라남도 보성군 보성읍 중앙로49, 108호, 보성센트럴뷰@",
442,도회경로당,전라남도 보성군 벌교읍 남하로 478-42,
443,동백경로당,전라남도 보성군 회천면 동백길 59,
444,신촌여성경로당,전라남도 보성군 조성면 중앙로길 34,
445,정산경로당,전라남도 보성군 보성읍 송재로 199,
446,청화동경로당,전라남도 보성군 조성면 대보둑로 454-7,
