,약국명_y,주소_y,전화번호,좌표정보(X),좌표정보(Y),월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
134,다나약국,"전라남도 여수시 시청로 19, 우리은행 4층(학동)",061-682-0234,127.6625782,34.7634401,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,09:00~13:00,-,-
135,다나은약국,전라남도 목포시 이로로9번길 6,061-277-5200,126.4059495,34.8042982,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30
136,다나은약국,전라남도 곡성군 곡성읍 곡성로 852,061-363-3696,127.2970254,35.2794219,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
137,다복한약국,"전라남도 순천시 하풍동길 74, 1층 (풍덕동)",061-743-7238,127.5023233,34.9396403,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,13:00~18:00,-
138,다산약국,"전라남도 여수시 시청로 52, (학동)",061-681-5832,127.6631117,34.7661041,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,08:30~16:00,-,-
139,다소니약국,전라남도 여수시 여천체육공원길 10 (신기동),061-686-7787,127.6749639,34.7612841,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~19:00,13:00~19:00,-
140,다시약국,전라남도 나주시 다시면 다시로 169,061-336-8638,126.6358925,35.0175134,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~18:00,08:00~13:00,-,-
141,다해약국,전라남도 목포시 옥암로 138 목포이마트 1층 (옥암동),061-285-6616,126.4252008,34.8116318,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,
142,닥터스팜한약국,"전라남도 여수시 흙산로 15, 2층 (공화동)",061-663-2111,,,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,-,-
143,달달약국,"전라남도 순천시 용당삼산로 17, 1층 103호 (용당동)",061-727-3737,,,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,-,-
144,담양약국,전라남도 담양군 담양읍 중앙로 29-7 (담양읍),061-801-6004,126.9827905,35.315531,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,-,08:30~15:00
145,담양유명약국,전라남도 담양군 수북면 추성1로 734,061-381-6275,126.9318063,35.3018024,08:30~12:30,08:30~12:30,08:30~12:30,08:30~12:30,08:30~12:30,-,-,-
146,담양종로약국,"전라남도 담양군 담양읍 중앙로 29-1,",061-381-0501,126.9835749,35.3159217,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~20:00
147,담양좋은약국,전라남도 담양군 담양읍 천변7길 20,061-381-4010,126.9829553,35.3152028,08:30~13:30,08:30~13:30,08:30~13:30,08:30~13:30,08:30~13:30,08:30~13:00,-,-
148,대동약국,전라남도 목포시 노적봉길 18 (죽동),061-244-4745,126.3836388,34.7900348,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,12:00~20:00,-
149,대동약국,전라남도 함평군 함평읍 중앙길 133 (함평읍),061-324-7667,126.5204014,35.0648154,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~15:00,-,-
150,대동약국,전라남도 광양시 광영로 55 (광영동),061-793-0219,127.7227497,34.9618578,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,08:00~21:00,-,10:00~19:00
151,대동약국,"전라남도 해남군 북평면 볼무당길 35,",061-533-1012,126.62992,34.4079532,07:30~17:00,07:30~12:00,07:30~12:00,07:30~12:00,07:30~12:00,07:30~12:00,-,-
152,대림약국,"전라남도 목포시 산대로2번길 2, 1층 (산정동)",061-273-3002,,,07:30~12:00,07:30~12:00,07:30~12:00,07:30~12:00,07:30~12:00,07:30~12:00,-,-
153,대명약국,전라남도 나주시 공산면 공산로 104,061-336-7300,126.6102333,34.9415586,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-
154,대민약국,"전라남도 여수시 무선로 6, (학동)",061-683-0057,127.6618234,34.761536,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:30,-,-
155,대불약국,전라남도 영암군 삼호읍 삼호중앙로 167,061-462-0080,126.4691796,34.7455316,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:30,-,-
156,대성약국,"전라남도 고흥군 도덕면 학동2길 6,",061-843-1012,127.1754053,34.5661714,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-
157,대성약국,전라남도 강진군 강진읍 탐진로 6,061-432-3000,126.7584209,34.6358733,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00
158,대성약국,전라남도 목포시 양을로41번길 1 (산정동),061-272-3002,126.3807767,34.8018343,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
159,대성약국,전라남도 여수시 중앙로 24-1 (교동),061-663-6981,127.7302492,34.7401603,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~21:00,08:00~20:00
160,대영약국,"전라남도 여수시 만성로 63, (미평동)",061-652-4985,127.702736,34.7704479,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,-,-
161,대웅약국,"전라남도 목포시 옥암로 106-1, (옥암동)",061-283-7001,126.4261277,34.8086129,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,-,-
162,대웅약국,"전라남도 여수시 중앙로 3, (서교동)",061-641-0678,127.7282533,34.7406365,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,-,08:00~20:00
163,대웅약국,"전라남도 광양시 공영로 66, 1층 (중동)",061-793-7575,127.6962522,34.9357037,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,09:00~13:00,-,-
164,대원약국,전라남도 보성군 벌교읍 채동선로 215,061-857-3127,127.3433802,34.8423506,08:00~18:30,08:00~18:30,08:00~15:00,08:00~18:30,08:00~18:30,08:00~15:00,-,-
165,대인약국,전라남도 목포시 원산중앙로 96 (연산동),061-278-4008,126.3812968,34.8119173,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,-
166,대진약국,"전라남도 목포시 용당로 281 (용해동, 종원빌딩)",061-273-1717,126.3990788,34.8123212,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,-,-
167,대창약국,전라남도 신안군 안좌면 중부로 852 (안좌면),061-262-1118,126.1253444,34.7544792,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~14:00,-,07:00~21:00
168,대창약국,전라남도 해남군 해남읍 중앙2로 124,061-536-4992,126.5953372,34.5672293,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00
169,대추나무한약국,전라남도 여수시 좌수영로 21-1 (광무동),061-642-7582,127.7277821,34.7424364,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,-,-
170,대학약국,"전라남도 순천시 중앙로 314, 1층 (가곡동)",061-753-8250,,,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
171,대학약국,전라남도 목포시 영산로 627,061-281-8772,126.4217794,34.8212626,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,-,-
172,대한약국,전라남도 강진군 강진읍 중앙로 93,061-433-7575,126.7673669,34.6386027,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~12:00,-,-
173,대흥약국,"전라남도 여수시 신월로 692, (국동)",061-643-0011,127.7188806,34.732521,08:40~18:00,08:40~18:00,08:40~18:00,08:40~18:00,08:40~18:00,08:40~13:00,-,-
174,대흥약국,"전라남도 해남군 북일면 만월길 24,",061-533-0020,126.6727485,34.4639532,08:00~11:00,08:00~11:00,08:00~11:00,08:00~11:00,08:00~11:00,07:30~13:00,-,-
175,더드림약국,전라남도 순천시 신월큰길 9 (조례동),061-722-2888,127.5201739,34.9603919,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:30,-,09:00~20:30
176,도곡제일약국,"전라남도 화순군 도곡면 효자2길 18,",061-374-0344,126.9173204,34.9966283,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,-,-,-
177,도담약국,"전라남도 순천시 장선배기1길 9, 1층 (조례동)",061-727-2130,,,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,09:00~13:00,-
178,도담약국,"전라남도 무안군 삼향읍 남악3로82번가길 22, 108호",061-281-1404,,,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-
179,도미약국,전라남도 완도군 완도읍 장보고대로 284-1,061-554-1615,126.7553632,34.3146239,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
180,도양약국,전라남도 고흥군 도양읍 녹동남촌1길 12,061-843-3832,127.1381077,34.5288797,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,09:00~13:00,-,-
181,도원약국,전라남도 여수시 도원로 164-1 (안산동),061-692-1520,,,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-
182,도원약국,전라남도 목포시 호남로64번길 27,061-242-6566,126.3849013,34.7918671,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-
183,독일약국,전라남도 영암군 학산면 독천로 187,061-472-4100,126.5695469,34.7257991,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~15:00,-,08:00~12:00
184,독일약국,전라남도 목포시 산정로 145,061-277-2655,126.3926643,34.8016192,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:30~13:00,-,-
185,독일약국,전라남도 해남군 해남읍 중앙1로 8 (해남읍),061-536-0269,126.6065785,34.5710389,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~05:00,-,08:30~12:00
186,동강제일약국,"전라남도 나주시 동강면 동강로 590, 동강제일약국 (동강면)",061-336-2025,126.5648101,34.9367622,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,-,-,-
187,동방약국,"전라남도 순천시 중앙로 154, 나동 (매곡동)",061-752-3263,127.4845707,34.9591285,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,-,08:30~18:00
188,동방약국,전라남도 목포시 산정로97번길 14-1 (산정동),061-276-8188,126.3914695,34.7969806,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~17:00,-,-
189,동아약국,"전라남도 영광군 영광읍 신남로 178,",061-351-4312,126.5014363,35.275885,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~14:00,-,-
190,동아약국,전라남도 순천시 팔마로 12-1,061-744-2230,127.489755,34.946533,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-
191,동양당한약국,전라남도 순천시 해룡면 조례못등길 80 (해룡면),061-725-5426,127.5281609,34.9503467,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,,
192,동인당한약국,전라남도 여수시 미평로 10-1 (미평동),061-654-5236,,,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,-,-
193,동인약국,전라남도 여수시 동문로 114 (공화동),061-662-9021,127.7436128,34.7464536,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:00,-,-
194,드림약국,전라남도 목포시 영산로 623 (석현동),061-284-4777,126.421025,34.8213917,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
195,드림약국,전라남도 여수시 망마로 25 (학동),061-641-6333,127.6659267,34.7602938,07:00~20:00,07:00~20:00,07:00~20:00,07:00~20:00,07:00~20:00,09:00~15:00,-,-
196,드림약국,전라남도 나주시 다시면 대용길 31,061-335-7566,126.6384481,35.017726,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~13:00,-,-
197,드림한약국,전라남도 순천시 팔마1길 9-47 (연향동),061-753-9188,,,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
198,로뎀약국,전라남도 목포시 청호로 154,061-278-6705,126.3751761,34.8049523,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,09:00~13:00
199,로타리약국,전라남도 여수시 여서로 168-1,061-652-0131,127.7000508,34.7480041,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~17:00,-,-
200,로타리큰약국,전라남도 광양시 광양읍 남문2길 30-39,061-761-6789,127.5892036,34.9712856,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~19:00,09:00~18:00,-
201,리약국,전라남도 광양시 광양읍 숲샘길 88 2층,061-762-7188,127.5866495,34.9705942,09:00:18:00,09:00:18:00,09:00:18:00,09:00:18:00,09:00:18:00,09:00:15:00,-,-
202,마음편한약국,전라남도 무안군 삼향읍 남악4로34번길 6 132호 (에드가채움 주상복합 아파트),061-285-0507,126.4663888,34.8078865,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
203,만광약국,전라남도 여수시 여서로 156-1 (여서동),061-810-6184,,,08:30~18:30,08:30~20:00,08:30~18:30,08:30~20:00,08:30~18:30,08:30~13:00,-,-
204,맑은샘약국,"전라남도 광양시 광장로 142, (중동)",061-795-7582,127.695303,34.9366756,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-,-
205,맑은수한약국,"전라남도 여수시 여서1로 11, 3층 (여서동)",061-643-3037,,,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~12:00,-,-
206,맑은약국,전라남도 순천시 팔마로 212,061-744-4700,127.5090508,34.9405169,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-
207,맑은약국,전라남도 완도군 완도읍 개포로130번길 15,061-555-0910,,,09:00~18:00,-,-,-,-,-,-,-
208,매일약국,전라남도 해남군 해남읍 중앙2로 150 (해남읍),061-537-1642,126.59449,34.5663095,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-
209,매정약국,전라남도 진도군 임회면 십일시길 47-1,061-543-3037,126.1930204,34.4092464,07:00~18:00,07:00~18:00,07:00~18:00,07:00~18:00,07:00~18:00,07:00~15:00,-,-
210,메디타운정겨운약국,"전라남도 순천시 신월큰길 13, 1층 (조례동)",061-804-5188,127.5198452,34.9604482,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,09:00~13:00,09:00~13:00
211,메디팜 금약국,전라남도 목포시 산정로 14 (동명동),061-242-8828,,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~13:00,-,-
212,메디팜동아약국,전라남도 고흥군 도양읍 비봉로 148-1 (도양읍),061-842-2114,127.1354654,34.5278636,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~15:00,-,-
213,메디팜명문약국,"전라남도 목포시 이로로 14, (용해동)",061-274-1985,126.405621,34.8043817,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00
214,메디팜명재약국,"전라남도 광양시 광양읍 순광로 697,",061-762-7349,127.5891303,34.9704965,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:00~12:30,09:00~13:00,-
215,메디팜보령약국,전라남도 목포시 상리로1번길 23,061-276-0208,126.4142997,34.8130222,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,09:00~14:00,09:00~13:00,-
216,메디팜영진약국,"전라남도 순천시 삼산로 102, 1층 (용당동)",061-752-2330,127.4944668,34.973208,08:40~19:40,08:40~19:40,08:40~19:40,08:40~19:40,08:40~19:40,08:40~18:00,-,-
217,메디팜영진약국,전라남도 진도군 진도읍 남문길 12-13,061-544-7501,126.2652584,34.4789579,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-
218,메디팜우리약국,전라남도 완도군 노화읍 노화로 847,061-554-5275,126.5722378,34.1769765,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,08:00~12:30,-,-
219,메디팜우성약국,전라남도 목포시 백년대로297번길 7,061-284-7001,126.4196354,34.8044265,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~17:00,09:00~17:00,-
220,메디팜유진약국,전라남도 광양시 중마로 172,061-792-1581,127.6893593,34.9400711,09:00~18:00,09:00~18:00,14:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
221,메디팜정원약국,전라남도 목포시 산정로 275-1,061-277-0720,126.3859546,34.8116066,08:40~19:30,08:40~19:30,08:40~19:30,08:40~19:30,08:40~19:30,08:40~14:00,-,-
222,메디팜태평양약국,전라남도 목포시 영산로 320,061-272-3850,126.4004855,34.8054087,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~14:00,-,-
223,메디팜프라자약국,전라남도 순천시 연향중앙상가길 27,061-721-1818,127.5201042,34.9512233,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,08:00~22:00,-,-
224,메디팜현대약국,"전라남도 목포시 부흥로 86, 102호 (옥암동,부영2차아파트 상가)",061-283-0008,126.4306256,34.8032947,08:30~21:30,08:30~21:30,08:30~19:30,08:30~21:30,08:30~21:30,08:30~21:30,13:00~21:30,08:30~21:30
225,명문약국,"전라남도 진도군 진도읍 남문길 13,",061-544-2093,126.2634294,34.4794003,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,-,-
226,명성온누리약국,전라남도 순천시 봉화3길 14 (조례동),061-723-6669,127.519985,34.9632456,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,15:00~20:00,08:30~20:00
227,명신약국,전라남도 영광군 영광읍 중앙로 165,061-351-3019,,,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00
228,명지약국,"전라남도 해남군 해남읍 남부순환로 159, 청치과의원 (해남읍)",061-537-5370,126.5943033,34.5654404,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
229,모범약국,"전라남도 순천시 삼산로 103-11, 1층 (용당동)",061-752-2267,127.4937375,34.9739596,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-
230,모아약국,전라남도 순천시 해룡면 순광로 224,061-727-0045,,,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-
231,목사골한국약국,전라남도 나주시 나주로 204 (성북동),061-337-9449,126.7219074,35.0346383,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:30~14:00,-,-
232,목포광주약국,전라남도 목포시 해안로229번길 2-1,061-243-1101,126.3867961,34.7857881,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,08:00~12:00,08:00~17:00
233,목포약국,"전라남도 해남군 화원면 금평길 3, 목포약국",061-532-0138,126.3285399,34.6684697,07:40~19:00,07:40~19:00,07:40~19:00,07:40~19:00,07:40~19:00,07:40~14:00,-,-
234,목포하나로약국,전라남도 목포시 선곡로 33 (석현동),061-281-1895,126.4285427,34.8190883,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00
235,목포하당종로약국,전라남도 목포시 신흥로 8 (상동),061-283-8275,126.4221466,34.8013326,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
236,무궁화약국,"전라남도 목포시 상동로 66, 주공3단지아파트 상가동 115호 (상동)",061-276-6778,,,09:30~10:00,-,-,-,-,-,-,-
237,무등약국,전라남도 무안군 무안읍 무안중앙로 4,061-453-0520,126.4784759,34.9884735,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-
238,무등온누리약국,전라남도 광양시 백운로 1109 (중동),061-791-3143,127.6893983,34.9399778,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,-,-
239,무선약국,"전라남도 여수시 무선중앙로 23, 1층 (화장동)",061-683-7578,,,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-
240,문수약국,"전라남도 여수시 문수로 160, 1층 (문수동)",061-653-3010,127.7105609,34.7580162,08:50~19:30,08:50~19:30,08:50~19:30,08:50~19:30,08:50~19:30,08:50~15:30,-,08:50~19:30
241,미래 온누리 약국,전라남도 담양군 담양읍 지침3길 5,061-381-7075,126.9840251,35.3158362,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:30,-,-
242,미래약국,"전라남도 완도군 완도읍 장보고대로 174, 1층",061-555-2050,126.7460005,34.3194862,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~16:00,-,-
243,미래약국,전라남도 화순군 화순읍 자치샘로 48,061-373-7200,126.9860372,35.0609454,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
244,미래약국,전라남도 함평군 해보면 밀재로 1293,061-322-8760,126.6048645,35.1810447,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~15:00,-,-
245,미래약국,전라남도 목포시 상리로1번길 13 (상동),061-276-7008,126.4149912,34.812398,08:00~17:40,08:00~17:40,08:00~17:40,08:00~17:40,08:00~17:40,08:00~11:40,-,09:00~16:00
246,미래약국,"전라남도 나주시 빛가람로 685, 118호 (빛가람동)",061-333-2018,,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,-,-
247,미래약국,전라남도 여수시 무선중앙로 62 (선원동),061-685-7274,127.6507197,34.7725004,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,-,-,-
248,미보약국,"전라남도 목포시 동명주택길 1, (산정동)",061-244-5010,126.397238,34.7903312,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~20:00,-
249,미소약국,전라남도 목포시 이로로 12 (용해동),061-272-0272,126.4056489,34.8046029,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,-,-,-
250,미소약국,전라남도 여수시 문수로 16-1 (문수동),061-654-7070,127.6996055,34.7498616,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
251,미소약국,전라남도 순천시 해룡면 향매로 67,061-725-7717,127.5469124,34.9343067,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-
252,미소온누리약국,전라남도 순천시 중앙로 4,061-746-7901,127.4879548,34.9473527,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,-,-,-
253,미안약국,"전라남도 여수시 선소로 72-13, (신기동)",061-684-1513,127.6683493,34.7575584,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:30,-,-
254,민약국,전라남도 장성군 북이면 백양로 8,061-392-9039,126.8094154,35.4302953,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
255,민중약국,"전라남도 목포시 만호로 40, (항동)",061-244-1804,126.3847562,34.7840016,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~17:00,-,-
256,믿음약국,전라남도 영광군 홍농읍 홍농로 460,061-356-3211,126.446862,35.3953829,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
257,바다약국,전라남도 목포시 백년대로 291 (상동),061-280-2888,126.419575,34.803998,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~16:00,-,-
258,바로나온누리약국,"전라남도 보성군 보성읍 현충로 26-2,",061-853-8203,127.0758555,34.7643425,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:30,-,-
259,바로약국,전라남도 화순군 화순읍 칠충로 150-1,061-375-8575,,,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
260,바른약국,"전라남도 무안군 삼향읍 남악3로82번길 42, 가온빌딩 1층 101호",061-980-2511,126.4648817,34.8127007,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
261,바른약국,전라남도 광양시 사동로 187 (마동),061-795-1058,127.6906481,34.9548952,08:30~19:00,08:30~19:00,08:30~19:00,14:00~19:00,08:30~19:00,09:00~13:00,13:00~17:00,09:00~13:00
262,바른약국,"전라남도 여수시 시청로 19, 우리은행 3층 (학동)",061-807-2050,,,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,-,-,-
263,바른약국,"전라남도 순천시 조례못등길 16, 금당빌딩 1층 (조례동)",061-721-6868,127.5263787,34.9542063,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,-,-,-
264,박약국,전라남도 순천시 환선로 128 (석현동),061-752-0332,127.4875307,34.9668423,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
265,밝은약국,전라남도 나주시 나주로 206 (성북동),061-930-8275,126.7218832,35.0347927,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-
266,밝은약국,전라남도 순천시 이수로 317,061-721-5464,127.5183727,34.9541238,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,09:00~12:00,09:00~12:00
267,밝은약국,전라남도 고흥군 고흥읍 터미널길 24,061-833-7733,127.281528,34.6073425,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,-,-
268,밝은약국,전라남도 화순군 화순읍 자치샘로 38,061-375-8281,126.9850275,35.0615901,08:30~12:00,08:30~12:00,08:30~12:00,08:30~12:00,08:30~12:00,08:30~13:00,-,-
269,배들약국,전라남도 순천시 서면 배들이길 17,061-752-5450,127.4981214,34.9887404,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:30~10:00,-,-
