,NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,lat,lng
1331,1332,아름다운온누리약국,02-932-0092,"서울특별시 노원구 동일로 1370, 1층 (상계동)",09:00~20:00,09:00~19:00,09:00~19:00,09:00~20:00,09:00~19:00,09:00~16:00,-,-,37.6509128734287,127.061845828421
1332,1333,아름다운약국,02-472-4113,"서울특별시 강동구 양재대로 1488, 4층 (길동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,-,-,37.5385752794508,127.14057632813
1333,1334,새봄약국,02-353-6384,서울특별시 은평구 은평로 5 (신사동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5967659204537,126.909210968391
1334,1335,아름다운약국,02-900-5812,"서울특별시 도봉구 도봉로 551, (쌍문동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-,37.6544885008684,127.037758938487
1335,1336,아름다운약국,02-855-7731,"서울특별시 관악구 난곡로 299, 1층 (신림동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.4806780051365,126.914368780839
1336,1337,아름다운약국,02-912-5148,"서울특별시 성북구 길음로 33, 상가B동 지층 17,18,19호 (길음동, 길음뉴타운)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:00,-,09:00~12:30,,
1337,1338,아름다운약국,02-3147-0433,"서울특별시 마포구 마포대로24길 56, 1층 (아현동, 보령빌딩)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~21:00,10:00~19:00,09:00~19:00,37.5515443016696,126.961901271005
1338,1339,아로마약국,02-508-6064,서울특별시 강남구 역삼로 243 (역삼동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,09:00~13:00,-,37.4978560130607,127.042818124268
1339,1340,아람약국,02-844-4422,"서울특별시 영등포구 여의대방로 87, (신길동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,17:00~20:00,-,37.4971678345299,126.916309950292
1340,1341,새봄약국,02-6085-4400,서울특별시 성동구 왕십리로 410,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,-,-,37.566590498762,127.02408246322
1341,1342,아란약국,02-537-9358,"서울특별시 서초구 서운로 216, GDA주니어스쿨 203호 (서초동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-,37.5023787621337,127.0218706432
1342,1343,아라타워아이약국,070-4269-3370,"서울특별시 서초구 서초대로77길 3, 1202호 (서초동, 아라타워)",09:30~21:30,09:30~21:30,09:30~21:30,09:30~21:30,09:30~21:30,09:30~18:30,-,-,37.4980609129976,127.026504807476
1343,1344,새보은약국,02-802-3077,서울특별시 금천구 독산로 138,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:30,-,-,37.4596581455555,126.905155476418
1344,1345,아라약국,02-530-8575,"서울특별시 서초구 서초대로77길 3, 111호(서초동,아라타워)",09:30~21:30,09:30~21:30,09:30~21:30,09:30~21:30,09:30~21:30,09:30~18:30,-,-,37.4980609129976,127.026504807476
1345,1346,새보은약국,02-996-7360,서울특별시 도봉구 삼양로154길 42,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,37.6556447843763,127.015624947396
1346,1347,아담약국,02-815-7060,서울특별시 동작구 현충로 114-1 (흑석동),09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:00,-,-,37.5069743255346,126.966211672543
1347,1348,아나파약국,02-466-2729,"서울특별시 광진구 면목로 168, (중곡동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,37.568126268074,127.082639941197
1348,1349,아가페온누리약국,02-916-8373,"서울특별시 성북구 정릉로 274, 1층 (정릉동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,09:00~17:00,-,37.6031865268874,127.0137852785
1349,1350,새보람약국,02-2632-9359,"서울특별시 영등포구 당산로31길 6 (당산동3가, 영등포병원)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,-,-,10:00~18:00,37.5267285622419,126.896064354258
1350,1351,씨케이광생약국,02-516-9016,"서울특별시 서초구 강남대로 559, 1층 101호 (잠원동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-,37.5117737805731,127.020539169585
1351,1352,쌍용약국,02-488-3511,"서울특별시 강동구 천중로 216, 101호 (길동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,-,-,37.5406775338317,127.144276124102
1352,1353,새민우약국,02-917-4275,"서울특별시 성북구 북악산로 845, 203동 301호 (정릉동, 정릉쌍용아파트)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,08:30~22:00,09:00~22:00,37.5993028279423,127.018273272468
1353,1354,쌍용약국,02-413-4013,서울특별시 송파구 올림픽로4길 40 (잠실동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.5071938064643,127.074204083657
1354,1355,쌍문약국,02-908-5945,서울특별시 도봉구 도봉로 473-1,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,-,-,37.6481321020136,127.034091377251
1355,1356,쌍문상록수약국,02-990-0600,"서울특별시 도봉구 해등로26길 7 (쌍문동, 우진빌딩 110,116호)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-,37.6584359791246,127.03260591856
1356,1357,쌍문마이팜약국,02-990-3040,"서울특별시 도봉구 도봉로141길 11, 1층 (쌍문동)",08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~16:00,-,-,37.6614601553805,127.041408313912
1357,1358,싱싱약국,070-8851-3202,"서울특별시 강남구 선릉로 567, 1층 일부호 (역삼동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-,37.5090872155202,127.044074669741
1358,1359,싱싱약국,02-937-6790,"서울특별시 노원구 수락산로 190, 203호 (상계동, 희락상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.6711773512332,127.057274733282
1359,1360,십자약국,02-988-5964,"서울특별시 성북구 숭인로2길 82, 2층 (길음동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,37.6079018448615,127.023998039277
1360,1361,십자당약국,02-583-9482,"서울특별시 서초구 남부순환로339길 53, 1층 (서초동)",08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,-,-,37.4853736750311,127.021492675202
1361,1362,실로암약국,02-2216-5360,"서울특별시 성동구 용답중앙15길 11, (용답동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,37.56454302834,127.053548596844
1362,1363,새무림약국,02-794-4727,서울특별시 용산구 한강대로 55 (한강로3가),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.5259083911788,126.964425882678
1363,1364,신효창프라자약국,02-718-6448,서울특별시 용산구 백범로 285 (효창동),08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:00~16:00,09:00~13:00,08:00~13:00,37.5395911118135,126.961087246982
1364,1365,신화약국,02-885-2078,서울특별시 관악구 관악로 153 (봉천동),09:00~21:40,09:00~21:40,09:00~21:40,09:00~21:40,09:00~21:40,09:30~20:30,-,-,37.4790158562216,126.952039897314
1365,1366,새목동약국,02-2645-3727,"서울특별시 양천구 목동서로 37 (목동, 하이베라스)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,37.5374776528581,126.88167161741
1366,1367,신화약국,02-2202-2468,"서울특별시 송파구 올림픽로12길 34 (잠실동, 103호)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~13:00,-,-,37.5085996882311,127.083326292399
1367,1368,새명성약국,02-735-2870,"서울특별시 종로구 새문안로 85, 1층 (신문로1가)",08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~15:00,-,-,37.5704009684387,126.974115135525
1368,1369,신혜성약국,02-558-6338,서울특별시 강남구 논현로 409,08:40~20:00,08:40~20:00,08:40~20:00,08:40~20:00,08:40~20:00,08:40~17:00,16:00~18:00,-,37.4965215456439,127.038595809797
1369,1370,새롬약국,02-2606-2806,"서울특별시 양천구 오목로 70, (신월동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~19:00,-,-,37.5226353064146,126.845358713435
1370,1371,신행당약국,02-2212-1931,"서울특별시 동대문구 사가정로 148, 3층 (전농동, sk아파트스포츠상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,37.5766590358858,127.061567688813
1371,1372,새롬약국,02-415-8839,"서울특별시 송파구 석촌호수로 130, 206호 (삼전동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,09:00~14:00,37.5071964496082,127.091386305975
1372,1373,신풍도약국,02-832-3955,"서울특별시 영등포구 도신로29다길 12, (도림동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,-,-,37.5104051333783,126.907605520453
1373,1374,새롬m약국,02-335-3814,"서울특별시 서대문구 증가로 85, (연희동)",08:40~20:30,08:40~20:30,08:40~20:30,08:40~20:30,08:40~20:30,08:40~20:30,-,-,37.5748066796997,126.926752570081
1374,1375,신창약국,02-902-3534,서울특별시 도봉구 덕릉로 258 (창동),09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:30,-,-,37.640299618227,127.039988789748
1375,1376,신지약국,02-882-2740,서울특별시 관악구 신림로 105,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,-,-,37.4705186207521,126.937588996361
1376,1377,새드림약국,070-8841-0063,"서울특별시 서초구 강남대로 435, 주류성빌딩 1층 (서초동)",09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~18:00,-,-,37.5011776111829,127.025561030522
1377,1378,신정이화약국,02-2654-0530,"서울특별시 양천구 신월로 304, 1층 (신정동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-,37.5210000232129,126.854754768596
1378,1379,새동서약국,02-2285-1055,"서울특별시 종로구 동호로 403, (종로5가)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,-,37.5704986692802,127.00166262475
1379,1380,신정약국,02-591-3172,"서울특별시 동작구 사당로23바길 9, 동작삼성래미안아파트 상가 202호 (사당동, 동작삼성래미안아파트)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,-,-,37.4896096841076,126.969190174402
1380,1381,새동산약국,02-472-5549,서울특별시 송파구 풍성로25가길 11 (풍납동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.535071754603,127.120248908716
1381,1382,신정약국,02-2256-1873,"서울특별시 중구 다산로 32 (신당동, 남산타운)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~16:00,-,-,37.5471667734011,127.005677166122
1382,1383,신월시장약국,02-2602-7613,"서울특별시 양천구 곰달래로13길 20-1, (신월동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.531760396997,126.836673999578
1383,1384,새대우약국,02-973-3197,"서울특별시 중랑구 동일로 852, (묵동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,-,09:00~21:00,37.6064579897336,127.078841890102
1384,1385,신원약국,02-814-3334,"서울특별시 서초구 강남대로10길 60-1, 101호 (양재동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,-,37.4697134839422,127.042507361295
1385,1386,신우약국,02-961-8833,"서울특별시 동대문구 홍릉로 5-1, 1층 (청량리동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,-,37.5808863161584,127.044771664472
1386,1387,새대우약국,02-2245-6510,"서울특별시 성동구 용답25길 14, (용답동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,08:30~22:30,09:00~22:00,-,37.561850343971,127.053475024727
1387,1388,신우성약국,02-714-5392,서울특별시 용산구 한강대로77길 10 (갈월동),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~20:00,-,-,37.5420961040095,126.972017220208
1388,1389,새남부약국,02-855-1241,서울특별시 금천구 남부순환로 1394,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:00~19:00,-,-,37.4799469577448,126.905655339008
1389,1390,신우리약국,02-2267-1570,"서울특별시 중구 마른내로 13, (저동2가)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~13:00,-,-,37.5648860779138,126.989347119238
1390,1391,새금강약국,02-848-1564,"서울특별시 영등포구 시흥대로181길 10-4, (대림동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,-,-,37.4902340173296,126.906423184193
1391,1392,신용산약국,02-795-3774,서울특별시 용산구 한강대로15길 9-18 (한강로3가),08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-,37.5253513313211,126.963055489889
1392,1393,새그린약국,02-473-6688,서울특별시 송파구 토성로 58,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:30,-,-,37.5290304826608,127.116078617044
1393,1394,신영신약국,02-446-4176,서울특별시 광진구 자양로 42,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.5319692640161,127.086094632545
1394,1395,신안약국,02-815-9191,서울특별시 동작구 장승배기로 139-1 (노량진동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,-,37.5100678673047,126.939973018656
1395,1396,새국민약국,02-909-3463,서울특별시 성북구 화랑로 91 (하월곡동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,10:00~17:00,37.6029841234118,127.042112880878
1396,1397,신아산약국,02-763-4600,"서울특별시 종로구 종로 255-2, 1층 (종로5가)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,08:00~20:00,37.571336531933,127.006237176601
1397,1398,새경희약국,02-964-2199,서울특별시 동대문구 경희대로1가길 27 (회기동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-,37.5930633795256,127.051483663593
1398,1399,신세원약국,02-909-0928,"서울특별시 성북구 길음로7길 6, 길음뉴타운9단지래미안 상가 1층 7호 (길음동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.6043421622613,127.022429212083
1399,1400,신세명약국,02-847-3058,"서울특별시 영등포구 도림로 208, 101호 (대림동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~20:00,08:30~22:00,37.4970742416285,126.903794692499
1400,1401,새건우약국,02-752-4027,"서울특별시 용산구 후암로 91-1, (동자동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,-,37.5533145384217,126.975284095685
1401,1402,새가정약국,02-471-1086,"서울특별시 강동구 양재대로 1595, 1층 (천호동,동부빌딩)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.5479683170985,127.143171795493
1402,1403,신세계약국,02-836-0754,서울특별시 영등포구 시흥대로 675 (대림동),08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-,37.4920362690323,126.908451130592
1403,1404,상쾌한해든약국,02-2654-9503,서울특별시 양천구 목동서로 256 동문빌딩 4층 2호 (목동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5245984741617,126.869278798476
1404,1405,신세계약국,02-535-4674,서울특별시 동작구 사당로 297 (사당동),08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~18:00,-,-,37.485143993465,126.980501104934
1405,1406,상쾌한약국,02-882-3357,"서울특별시 관악구 신림로 340, 르네상스복합쇼핑몰 3층 (신림동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:30,10:00~14:00,10:00~14:00,37.4847625375982,126.930096548294
1406,1407,상일약국,02-414-0185,"서울특별시 송파구 올림픽로35가길 11 (신천동, 한신코아 110호)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,-,-,-,37.5163298028991,127.104060465697
1407,1408,상암올리브약국,02-359-5293,"서울특별시 마포구 월드컵북로 402, 케이지아이티센터 314호 (상암동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-,37.580107752042,126.888982346416
1408,1409,상아온누리약국,02-823-7931,서울특별시 동작구 양녕로26길 22 (상도동),08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~19:00,-,-,37.4976640599627,126.943954305665
1409,1410,상아약국,02-2687-0456,"서울특별시 구로구 중앙로 100, 연세사랑모아여성병원 104,105호 (고척동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,37.5063537038109,126.860612503872
1410,1411,상아약국,02-434-0118,"서울특별시 중랑구 용마산로 494, 상아빌딩 1층 (망우동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~19:00,08:30~19:00,08:30~19:30,37.5949757275537,127.100268095195
1411,1412,신성모약국,02-462-0382,서울특별시 광진구 뚝섬로24길 3,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~18:00,-,-,37.5362777824671,127.063762966015
1412,1413,신사프라자약국,02-351-4542,"서울특별시 은평구 갈현로 16, (신사동)",08:40~20:00,08:40~20:00,08:40~20:00,08:40~20:00,08:40~20:00,08:40~17:00,-,-,37.5992336211849,126.910359503572
1413,1414,신사수약국,02-542-8032,서울특별시 강남구 압구정로28길 28 (신사동) 1층,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,14:00~18:00,-,37.5247718575064,127.027513165818
1414,1415,신방화약국,02-2666-2040,"서울특별시 강서구 양천로 128, 103호 (방화동,한림리첸빌)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:00,-,-,37.5731355083054,126.818164235274
1415,1416,신명약국,02-387-1835,서울특별시 은평구 은평로 226 (응암동),09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,-,-,37.600849454025,126.93271619248
1416,1417,신명성약국,02-532-7722,서울특별시 서초구 서래로8길 1 (반포동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.4987457593011,126.998571815059
1417,1418,신라약국,02-2665-3344,서울특별시 강서구 방화동로 14 1층,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~17:00,-,-,37.5624288687476,126.809237198105
1418,1419,상아약국,02-985-3211,"서울특별시 강북구 도봉로 143, 광명빌딩 1층 (미아동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,09:00~19:30,37.621534791428,127.027705556921
1419,1420,신도약국,02-2681-6000,"서울특별시 구로구 중앙로 60 (고척동, 강산메디칼프라자)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~17:00,08:00~12:30,-,37.5031383188753,126.862560988844
1420,1421,신도약국,02-966-4487,"서울특별시 동대문구 고산자로 534, 103호 (제기동, 한신아파트 상가동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,-,-,37.5883932941526,127.039218485863
1421,1422,상수약국,02-717-8271,"서울특별시 마포구 큰우물로 75, 1층4호 (도화동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,-,-,37.5412654954538,126.946294819719
1422,1423,신도림제일약국,02-858-7170,"서울특별시 구로구 새말로 94, 1층 (구로동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~17:00,-,-,37.5054702180553,126.890498431184
1423,1424,상산약국,02-2066-6361,"서울특별시 구로구 중앙로 19, 1층 (고척동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.499747462645,126.863482095281
1424,1425,신대흥약국,02-2679-0777,"서울특별시 영등포구 선유로 343, (당산동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,09:00~17:00,09:00~17:00,37.5423832345578,126.901819342041
1425,1426,상산약국,02-813-7442,서울특별시 동작구 서달로 136-1 (흑석동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.5056017113486,126.961154771909
1426,1427,신당조은약국,02-2231-7320,서울특별시 중구 퇴계로 457 (황학동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.5656260898353,127.022629261908
1427,1428,신논현약국,02-545-3580,"서울특별시 강남구 봉은사로 109, 싼타홍메디컬타워 지하1층 (논현동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,37.5051165324411,127.025584201184
1428,1429,상산약국,02-2252-3354,"서울특별시 중구 퇴계로 435, 1층 (황학동)",08:00~21:40,08:00~21:40,08:00~21:40,08:00~21:40,08:00~21:40,08:00~21:40,09:30~21:00,09:00~22:00,37.5658402748236,127.020035146217
1429,1430,신길프라자약국,02-845-1524,"서울특별시 영등포구 도신로 120, 1층 (신길동,신영빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:00,-,09:00~13:00,37.5082105383995,126.905419023732
1430,1431,시티약국,02-3431-4115,"서울특별시 송파구 올림픽로 116, 1층 (잠실동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~18:00,-,-,37.5113561033686,127.083492795772
1431,1432,상봉햇살약국,02-434-8678,"서울특별시 중랑구 상봉로 118, E-마트 상봉점 4층 (망우동)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~20:00,09:00~18:00,10:00~20:00,37.596467652374,127.09360845762
1432,1433,상보약국,02-463-7513,서울특별시 성동구 동일로 83,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~19:00,-,-,37.5403600987734,127.062631429258
1433,1434,시장약국,02-957-4789,"서울특별시 동대문구 왕산로 143, 1층 (제기동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,37.5785867839247,127.039245719345
1434,1435,상마약국,02-2644-5953,"서울특별시 양천구 신목로 100-6, 1층 (목동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,10:00~17:00,10:30~17:30,37.5232891049819,126.875844690785
1435,1436,시온약국,02-437-1248,"서울특별시 중랑구 면목로 426, 1층 (면목동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,-,-,-,37.5899467638328,127.087450444888
1436,1437,상록약국,02-563-6625,서울특별시 강남구 언주로 508 (역삼동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~17:00,-,-,37.5039660612952,127.042909941112
1437,1438,시그니처약국,02-3213-2887,"서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 지하1층 (신천동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,09:00~19:00,-,11:00~19:00,37.5137519612953,127.104446890835
1438,1439,상록수온누리약국,02-954-2950,서울특별시 도봉구 도당로13길 8 (방학동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,37.6653412719347,127.035743923351
1439,1440,승약국,02-981-5581,서울특별시 강북구 솔매로 38 (미아동),07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,-,-,-,37.6254337641302,127.016399909328
1440,1441,상록수약국,02-426-7977,"서울특별시 강동구 고덕로10길 53, (암사동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,-,-,09:00~20:00,37.5523085677419,127.129631561402
1441,1442,스템약국,02-548-8781,"서울특별시 강남구 도산대로 507, 1층 (청담동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:30,-,-,37.5247511251313,127.048532261589
1442,1443,스타온누리약국,02-2039-2733,"서울특별시 광진구 동일로 178, 광진캠퍼스시티 1층 104호 (화양동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,-,-,37.5478142685395,127.067810065046
1443,1444,상락약국,02-916-8989,서울특별시 성북구 보국문로 4 (정릉동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,37.6050736014468,127.011742737037
1444,1445,스타온누리약국,02-427-7588,"서울특별시 강동구 아리수로50길 50, 4층 405,406,407호 (고덕동, 고덕래미안힐스테이트)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,-,-,-,37.5576891371776,127.148600236458
1445,1446,스타온누리약국,02-425-1425,"서울특별시 송파구 삼전로 99, 대성빌딩 1층 (잠실동)",09:20~20:00,09:20~20:00,09:20~20:00,09:20~20:00,09:20~20:00,09:20~20:00,09:20~20:00,09:00~13:00,37.507262374315,127.090133910971
1446,1447,스타약국,02-6449-0097,"서울특별시 중랑구 망우로 216, 1층 (상봉동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.5938752140491,127.076779236368
1447,1448,스타약국,070-4257-5277,"서울특별시 성북구 동소문로 92, 1층 (동소문동5가, 강윤빌딩)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,-,-,37.5921675534937,127.01549221016
1448,1449,스타약국,02-3481-6688,"서울특별시 서초구 강남대로 437, 대원빌딩 1층 (서초동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,-,-,37.5013634093685,127.025511220431
